id,bio
A000055,"a Representative from Alabama; born in Haleyville, Winston County, Ala., July 22, 1965; B.A., Birmingham Southern College, Birmingham, Ala., 1987; J.D., Samford University, Birmingham, Ala., 1990; lawyer, private practice; Haleyville, Ala., municipal judge, 1992-1995; staff, Alabama Governor Fob James, 1995-1996; elected as a Republican to the One Hundred Fifth and to the thirteen succeeding Congresses (January 3, 1997-present)."
M001201,"A Representative from Michigan; November 14, 1956; B.A., Michigan State University, Lansing, Mich., 1978; businessman; business executive; member of the St. Clair, Mich., city council; unsuccessful candidate for nomination to the One Hundred Fourteenth Congress in 2014; elected as a Republican to the One Hundred Fifteenth and to the succeeding Congress (January 3, 2017-January 3, 2021); changed party affiliation from a Republican to an Independent on December 15, 2020; was not a candidate for reelection to the One Hundred Seventeenth Congress in 2020; died on August 15, 2021."
P000585,"A Representative from Pennsylvania; born in York, York County, Pa., March 5, 1962; attended York Suburban High School, York, Pa., 1980; B.S., Shippensburg University, Shippensburg, Pa., 1984; J.D., Pepperdine University School of Law,Pepperdine University, Malibu, Calif., 1991; member of the Pennsylvania state house of representatives, 1992-2000; elected as a Republican to the One Hundred Seventh and to the five succeeding Congresses (January 3, 2001-January 3, 2013); was not a candidate for reelection to the One Hundred Thirteenth Congress in 2012; judge, Common Pleas Court, York County, Pa., nineteenth district, 2014-present."
L000098,"A Representative from Idaho; born in Van Nuys, Los Angeles County, Calif., August 25, 1946; attended Stanford University Institute of Television and Radio, 1967, and Johns Hopkins School of Advanced International Studies, 1968-1969; B.A., University of Portland, 1967; M.S., Boston University, 1969; captain, military intelligence, United States Army, 1969-1972; north Idaho field representative for United States Senator Frank Church, 1975-1981, Oregon primary coordinator for the Church presidential campaign in 1976; vice president of a brokerage firm, 1983-1990; unsuccessful candidate in 1982 for the Ninety-eighth Congress; nominee in 1986 for the Idaho State senate; elected as a Democrat to the One Hundred Second and One Hundred Third Congresses (January 3, 1991-January 3, 1995); unsuccessful candidate for reelection to the One Hundred Fourth Congress."
P000047,"a Representative from California; born in Monterey, Monterey County, Calif., June 28, 1938; graduated from Monterey Union High School, Monterey, Calif., 1956; B.A., University of Santa Clara, Santa Clara, Calif., 1960; LL.B., Santa Clara Law School, Santa Clara, Calif., 1963; admitted to the California bar in 1965; lawyer, private practice; United States Army, 1963-1965; legislative assistant, United States Senator Thomas Henry Kuchel of California, 1966-1969; director, Office of Civil Rights, United States Department of Health, Education, and Welfare, 1969-1970; executive assistant to Mayor John Vliet Lindsay of New York City, 1970-1971; elected as a Democrat to the Ninety-fifth and to the eight succeeding Congresses until his resignation on January 21, 1993 (January 3, 1977-January 21, 1993); chairman, Committee on the Budget (One Hundred First and One Hundred Second Congresses); director, Office of Management and Budget, 1993-1994; chief of staff, The White House, 1994-1996; chairman, Pew Oceans Commission, 2000-2003; private advocate; director, Central Intelligence Agency, 2009-2011; Secretary of Defense in the Cabinet of President Barack Obama, 2011-2013."
M000566,"A Representative from North Carolina; born in Charlotte, N.C., May 9, 1932; graduated from Woodberry Forest School, Orange, Va., 1950; B.A., University of North Carolina, Chapel Hill, N.C., 1954; M.B.A., University of Virginia, Charlottesville, Va., 1958; United States Army, special agent, intelligence, 1954-1956; president, Harris-Teeter Super Markets, 1977-1983; chairman, Charlotte-Mecklenburg Broadcasting Authority, 1978-1983; Mecklenburg County board of commissioners, 1972-1974; board member and chairman, Mecklenburg board of social services, 1974-1977; elected as a Republican to the Ninety-ninth and to the four succeeding Congresses (January 3, 1985-January 3, 1995); not a candidate for reelection to the One Hundred Fourth Congress in 1994; faculty, The Citadel, Charleston, S.C., 2003-2006."
R000571,"A Representative from Montana; born in Billings, Yellowstone County, Mont., October 5, 1955; graduated from West High School, Billings, Mont.; attended Montana State University, Billings, Mont., 1973-1974; B.A., Washington State University, Pullman, Wash., 1977; rancher; staff, United States Representative Ron Marlenee of Montana, 1979-1982; member, Montana state house of representatives, 1984-1991; Montana lieutenant governor, 1991-1996; unsuccessful candidate for the United States Senate in 1996; elected as a Republican to the One Hundred Seventh and to the five succeeding Congresses (January 3, 2001-January 3, 2013); not a candidate for reelection in 2012, but was an unsuccessful candidate for election to the United States Senate."
S000394,"(Father of William Shuster), a Representative from Pennsylvania; born in Glassport, Allegheny County, Pa., January 23, 1932; B.S., University of Pittsburgh, Pa., 1954; M.B.A., Duquesne University, Pittsburgh, Pa., 1960; Ph.D., American University, Washington, D.C., 1967; United States Army, 1954-1956; delegate, Republican National Conventions, 1976, 1980, 1984, and 1988; elected as a Republican to the Ninety-third and to the fourteen succeeding Congresses, served until his resignation on February 3, 2001 (January 3, 1973-February 3, 2001); chairman, Committee on Transportation and Infrastructure (One Hundred Fourth through One Hundred Sixth Congresses)."
F000392,"A Representative from Texas; born in Glendale, Los Angeles County, Calif., January 1, 1942; graduated from R.L. Paschal High School, Fort Worth, Tex., 1960; B.A. and B.J., University of Missouri, Columbia, Mo., 1964; J.D., Georgetown University Law Center, Washington, D.C., 1970; United States Army Reserves, 1966-1972; lawyer, private practice; journalist; law clerk for United State Judge Sarah T. Hughes, for the Northern District of Texas, 1970-1971; delegate, Democratic National Convention, 1976, 1984, 1988, 1992, 1996, and 2000; elected as a Democrat to the Ninety-sixth and to the twelve succeeding Congresses (January 3, 1979-January 3, 2005); chair, House Democratic Caucus (One Hundred Sixth through One Hundred Eighth Congresses); unsuccessful candidate for reelection in 2004."
K000019,"A Representative and a Senator from Wisconsin; born in Milwaukee, Milwaukee County, Wis., June 19, 1942; graduated, The Choate High School, Wallington, Conn., 1960; graduated, University of Arizona 1964; received a graduate degree from Columbia University Graduate School of Business, New York City, 1966; served in Wisconsin Air National Guard 1966-1972; vice president of marketing and sales manager for a Wisconsin shoe manufacturing company; member, Wisconsin State senate 1972-1974; elected in 1974 as a Republican to the Ninety-fourth Congress; reelected to the Ninety-fifth Congress (January 3, 1975-January 3, 1979); was not a candidate for reelection in 1978; unsuccessful candidate for the Republican nomination for Governor of Wisconsin in 1978; elected as a Republican to the United States Senate in 1980; reelected in 1986, and served from January 3, 1981, to January 3, 1993; unsuccessful candidate for reelection in 1992; is a resident of Washington, D.C., and West Bend, Wisconsin."
S001206,"a Representative from Florida; born in Cleveland, Cuyahoga County, Ohio, February 14, 1941; graduated from West Technical High School, Cleveland, Ohio, 1958; A.B., Western College for Women, Oxford, Ohio, 1962; Ph.D., Syracuse University, Syracuse, N.Y., 1970; United States Peace Corps, 1962-1964; professor, Teachers College, Columbia University, 1972-1977; assistant secretary, Department of Housing and Urban Development, 1977-1980; professor and president, Hunter College of the City University of New York, New York City, N.Y., 1980-1987; professor and chancellor, University of Wisconsin-Madison, Madison, Wis., 1987-1993; Secretary of Health and Human Services in the Cabinet of President William J. Clinton, 1993-2001; president, University of Miami, Miami, Fla., 2001-2015; nonprofit executive; elected as a Democrat to the One Hundred Sixteenth Congress (January 3, 2019-January 3, 2021); unsuccessful candidate for reelection to the One Hundred Seventeenth Congress in 2020."
F000372,"A Representative from New Jersey; born in New York, N.Y., April 29, 1946; graduated from St. Albans School, Washington, D.C., 1964; B.A., Hobart College, Geneva, N.Y., 1969; graduate studies, Trinity College, Hartford, Conn.; United States Army, 1969-1971; state and federal aid coordinator and administrative assistant to board of chosen freeholders, Morris County, N.J., 1972; board of chosen freeholders, Morris County, N.J., 1974-1983, director, 1980; member, New Jersey commission on capital budgeting and planning; member of the New Jersey state general assembly, 1983-1994; member of the Morris County, N.J., Republican Committee; elected as a Republican to the One Hundred Fourth and to the eleven succeeding Congresses (January 3, 1995-January 3, 2019); was not a candidate for reelection to the One Hundred Sixteenth Congress in 2018; chair, Committee on Appropriations (One Hundred Fifteenth Congress)."
K000385,"A Representative from Illinois; born in New York, N.Y., April 30, 1956; graduated from Rhodes Prep High School, New York, N.Y., 1973; B.A., Bradley University, Peoria, Ill., 1977; M.A., Bradley University, Peoria, Ill., 1982; Ph.D., Northern Illinois University, DeKalb, Ill., 2004; counselor; community affairs director, Matteson, Ill., 1992-2006; member of the Illinois state house of representatives, 2003-2007; chief of staff, Illinois state treasurer, 2007-2010; Cook County, Ill., chief administrative officer, 2010-2012; elected as a Democrat to the One Hundred Thirteenth Congress, by special election, to fill the vacancy caused by the resignation of United States Representative Jesse L. Jackson, Jr., and reelected to the five succeeding Congresses (April 9, 2013-present)."
K000328,"A Representative from Washington; born in Tacoma, Wash., September 28, 1943; B.S., Pacific University, 1967; D.Optom., 1969; M.P.H., University of California, Los Angeles, 1972; lieutenant colonel in the United States Army Reserve, active duty 1970-1971 and 1991; doctor of optometry, Group Health Cooperative, Olympia, Wash., 1972-1992; member, board of directors, North Thurston School District, 1973-1977; Washington State representative, 1977-1984; Washington State senator, 1985-1992; elected as a Democrat to the One Hundred Third Congress (January 3, 1993-January 3, 1995); unsuccessful candidate for reelection to the One Hundred Fourth Congress; member of the pacific northwest power planning council, 1995&ndash;1998; Regional Director, United States Department of Health and Human Services, 1998&ndash;2000; Washington state insurance commissioner, 2001&ndash;present."
H001029,"a Representative from North Carolina; born in Concord, Cabarrus County, N.C., August 14, 1945; B.A., Duke University, Durham, N.C., 1967; member of Concord, N.C., board of aldermen, 1978; member of the North Carolina state house of representatives, 1992-1996; unsuccessful candidate for the Republican nomination for governor of North Carolina in 1996; elected as a Republican to the One Hundred Sixth and to the four succeeding Congress (January 3, 1999-January 3, 2009); unsuccessful candidate for reelection to the One Hundred Eleventh Congress in 2008; convicted on August 19, 2020, of making false statements to United States Federal Bureau of Investigation; full pardon granted by President Donald J. Trump on January 13, 2021."
D000614,"A Representative from Wisconsin; born in Hayward, Sawyer County, Wis., October 3, 1971; B.A., St. Mary's College, Winona, Minn., 1994; J.D., William Mitchell College of Law, St. Paul, Minn., 1999; lawyer, private practice; prosecutor, Ashland County, Wis.; acting assistant district attorney and district attorney, Ashland County, Wis., 2002-2010; elected as a Republican to the One Hundred Twelfth and to the four succeeding Congresses until his resignation on September 23, 2019 (January 3, 2011-September 23, 2019)."
E000285,"A Senator from Wyoming; born in Bremerton, Wash., February 1, 1944; attended public schools of Thermopolis and Sheridan, Wyo.; graduated, Sheridan High School 1962; received degree in accounting, George Washington University 1966; M.B.A. in retail marketing from Denver University 1968; served in Wyoming National Guard 1967-73; owned and operated family shoe stores in Gillette and Sheridan, Wyo., and Miles City, Mont.; accountant; Certified Professional in Human Resources, 1993-present; Mayor of Gillette 1975-1982; member, Wyoming house of representatives 1987-1991; member, Wyoming state senate 1991-1996; commissioner, Western Interstate Commission for Higher Education 1995-1996; elected as a Republican to the United States Senate in 1996; reelected in 2002, 2008, and again in 2014, and served from January 3, 1997, to January 3, 2021; chair, Committee on Health, Education, Labor, and Pensions (One Hundred Ninth Congress), Committee on Budget (One Hundred Fourteenth through One Hundred Sixteenth Congresses); was not a candidate for reelection to the Senate in 2020; was a resident of Gillette, Wyo., until his death on July 26, 2021; interment in Mount Pisgah Cemetery, Gillette, Wyo."
A000214,"A Representative from Ohio; born in Steubenville, Jefferson County, Ohio, March 27, 1928; attended the public schools; graduated, Steubenville High School, 1947; engaged in real estate business; served in the Ohio house of representatives, 1961-1969; Ohio senate, 1969-1976; delegate to Democratic National Convention, 1964; elected as a Democrat to the Ninety-fifth and to the eight succeeding Congresses (January 3, 1977-January 3, 1995); not a candidate for reelection to the One Hundred Fourth Congress; died on August 7, 2021, in Spring Hill, Fla."
O000159,"A Representative from New York; born in Collierville, Shelby County, Tenn., June 28, 1936; graduated from Hamilton High School, Memphis, Tenn.; B.A., Morehouse College, Atlanta, Ga., 1956; M.S., Atlanta University (now Clark Atlanta), Atlanta, Ga., 1957; chair, Brooklyn Congress of Racial Equality; vice president, Metropolitan Council of Housing, N.Y., 1964; community coordinator, Brooklyn Public Library, Brooklyn, N.Y., 1964-1966; executive director, Brownsville Community Council, 1966-1968; commissioner, Community Development Agency, New York, N.Y., 1968-1973; director, community media library program, Columbia University, New York, N.Y., 1973-1975; member of the New York state senate, 1974-1982; served on International Commission on Ways of Implementing Social Policy to Ensure Maximum Public Participation and Social Justice for Minorities at The Hague, Netherlands, 1972; elected as a Democrat to the Ninety-eighth Congress and to the eleven succeeding Congresses (January 3, 1983-January 3, 2007); not a candidate for reelection to the One Hundred Tenth Congress in 2006; died on October 21, 2013, in New York City, N.Y."
Y000064,"A Senator and a Representative from Indiana; born in Lancaster, Lancaster County, Pa., August 24, 1972; graduated from Carmel High School, Carmel, Ind., 1990; B.S., United States Naval Academy, Annapolis, Md., 1995; M.B.A., University of Chicago, Chicago, Ill., 2000; M.A., University of London, London, England, 2001; J.D., Robert H. McKinney School of Law, Indiana University, Indianapolis, Ind., 2006; United States Navy, 1990-1991; United States Marine Corps, 1995-2000; staff, United States Senator Richard Lugar of Indiana, 2001-2003; Orange County, Ind., assistant deputy prosecutor, 2007-2010; consultant; lawyer, private practice; elected as a Republican to the One Hundred Twelfth and to the two succeeding Congresses (January 3, 2011-January 3, 2017); was not a candidate for reelection to the House of Representatives but was elected as a Republican to the United States Senate in 2016; reelected in 2022 for the term ending January 3, 2029; chair, National Republican Senatorial Committee (2019-2020)."
M000933,"A Representative from Virginia; born in Buffalo, Erie County, N.Y., May 16, 1945; B.A., College of the Holy Cross, Worcester, Mass., 1967; attended the Bernard Baruch School of Finance, City University of New York, New York, N.Y., 1967-1968; M.P.A., University of Pittsburgh, Pittsburgh, Pa., 1970; attended the University of Southern California, Los Angeles, Calif., 1978; investment banker; comptroller and budget analyst, United States Department of Health, Education, and Welfare, 1968-1974; policy specialist, Congressional Research Service, Library of Congress, 1974-1976; staff, United States Senate Committee on Appropriations, 1976-1979; member of the Alexandria, Va., city council, 1979-1982; vice mayor of Alexandria, Va., 1982-1984; mayor of Alexandria, Va., 1985-1990; elected as a Democrat to the One Hundred Second and to the eleven succeeding Congresses (January 3, 1991-January 3, 2015); was not a candidate for reelection to the One Hundred Fourteenth Congress in 2014."
H001038,"a Representative from New York; born in Buffalo, Erie County, N.Y., October 6, 1959; graduated from South Park High School, Buffalo, N.Y., 1978; B.A., Buffalo State College, Buffalo, N.Y., 1984; M.A., Buffalo State College, Buffalo, N.Y., 1985; M.P.A., Harvard University, Cambridge, Mass., 1996; lecturer, Buffalo State College, Buffalo, N.Y.; member of the Buffalo, N.Y. common council, 1988-1994; member of the New York state assembly, 1999-2004; elected as a Democrat to the One Hundred Ninth and to the nine succeeding Congresses (January 3, 2005-present)."
B001135,"A Senator and a Representative from North Carolina; born in Charlottesville, Albemarle County, Va., November 30, 1955; graduated from Reynolds High School, Winston-Salem, N.C., 1974; B.A., Wake Forest University, Winston-Salem, N.C., 1978; unsuccessful candidate for election to the One Hundred Third Congress in 1992; elected as a Republican to the One Hundred Fourth and to the four succeeding Congresses (January 3, 1995-January 3, 2005); was not a candidate for reelection to the House of Representatives, but was elected to the United States Senate in 2004; reelected in 2010, and again in 2016, and served from January 3, 2005, to January 3, 2023; chair, Select Committee on Intelligence (One Hundred Fourteenth through One Hundred Sixteenth Congresses); was not a candidate for reelection to the Senate in 2022."
A000372,"a Representative from Georgia; born in Augusta, Richmond County, Ga., November 7, 1951; graduated from Evans High School, Evans, Ga., 1969; B.S., Auburn University, Auburn, Ala., 1973; business owner; elected as a Republican to the One Hundred Fourteenth and to the four succeeding Congresses (January 3, 2015-present)."
D000355,"A Representative from Michigan; born in Colorado Springs, El Paso County, Colo., July 8, 1926; attended Capitol Page School, Washington, D.C., and Georgetown Preparatory School, Garrett Park, Md.; Page, United States House of Representatives, 1938-1943; B.S., Georgetown University, Washington, D.C., 1949; J.D., Georgetown University Law School, Washington, D.C., 1952; United States Army, 1944-1946; lawyer, private practice; research assistant, United States Circuit Judge Theodore Levin, 1952-1953; assistant prosecuting attorney of Wayne County, Mich., 1954-1955; delegate to the Democratic National Conventions in 1956, 1960, 1968, 1980 and 1984; elected as a Democrat to the Eighty-fourth Congress, by special election, to fill the vacancy caused by the death of his father, United States Representative John D. Dingell, Sr., and reelected to the twenty-nine succeeding Congresses (December 13, 1955-January 3, 2015); was not a candidate for reelection to the One Hundred Fourteenth Congress in 2014; chair, Committee on Energy and Commerce (Ninety-seventh through One Hundred Third Congresses and One Hundred Tenth Congress); died on February 7, 2019, in Dearborn, Mich.; interment at Arlington National Cemetery, Arlington, Va."
