start_1,end_1,location_1,start_2,end_2,location_2,start_3,end_3,location_3,start_4,end_4,location_4,start_5,end_5,location_5,start_6,end_6,location_6,start_7,end_7,location_7,start_8,end_8,location_8,start_9,end_9,location_9,start_10,end_10,location_10,start_11,end_11,location_11,start_12,end_12,location_12,start_13,end_13,location_13,start_14,end_14,location_14,start_15,end_15,location_15
1958,1982,"Tucson, Pima County, Ariz.",1982,1984,"Tucson, Ariz.",1984,1999,(unknown),1999,2003,"Tempe, Ariz.",2003,2016,Arizona State Legislature,2017,present,Washington D.C.,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,1981,"Columbus, Franklin County, Ohio",1981,1985,"Columbus, Ohio",1985,1992,(unknown),1992,2001,Ohio State House of Representatives,2001,2018,Washington D.C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,1969,"Seattle, King County, Wash.",1969,1972,"Stanford, Calif.",1972,1976,"Salem, Oreg.",1976,1984,"Selah, Wash.",1988,1992,Washington state house of representatives,1993,1995,Washington D.C.,1997,1998,United States Department of Health and Human Services,1999,2012,Washington D.C.,2013,present,Governor of Washington,,,,,,,,,,,,,,,,,,
1950,1968,"Columbus, Franklin County, Ohio",1968,1972,"Columbia, S.C.",1972,2007,(unknown),2007,2019,West Virginia,2019,present,(currently serving in Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,1972,"Haleyville, Winston County, Ala.",1972,1974,"Phil Campbell, Ala.",1974,1977,"Tuscaloosa, Ala.",1977,2015,(career),2015,present,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,1976,"Philadelphia, Philadelphia County, Pa.",1976,1980,"Emory, Va.",1980,1983,"Lexington, Va.",1983,1994,(private practice),1994,2011,Virginia state house of delegates,2011,present,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,1998,"East Meadow, Nassau County, N.Y.",1998,2001,"Albany, N.Y.",2001,2003,"Albany, N.Y.",2003,2007,(US Army),2007,2011,(US Army Reserve),2011,2014,New York State Senate,2014,2023,Washington D.C.,2023,Present,(Unknown),,,,,,,,,,,,,,,,,,,,,
1937,1955,"Barrier, Wayne County, Ky.",1955,1956,"Monticello, Ky.",1956,1962,"Lexington, Ky.",1962,1964,"Lexington, Ky.",1964,1969,(private practice),1969,1980,"Pulaski and Rockcastle Counties, Ky.",1980,present,Washington D.C.,,,,,,,,,,,,,,,,,,,,,,,,
1943,1961,"New York, New York County, N.Y.",1961,1968,"Crossnore, N.C.",1968,1972,"Chapel Hill, N.C.",1972,1985,"Greensboro, N.C.",1985,1987,(Unknown),1987,1994,"Spruce Pine, N.C.",1994,2004,(Unknown),2004,Present,(Unknown),,,,,,,,,,,,,,,,,,,,,
1953,1971,"East Harlem, New York County, N.Y.",1971,1975,"Garden City, N.Y.",1975,1978,"Washington, D.C.",1978,1983,"New York, N.Y.",1984,1985,"New York, N.Y.",1985,1992,"New York, N.Y.",1992,1998,New York State Assembly,1998,Present,United States Congress,,,,,,,,,,,,,,,,,,,,,
1978,1997,"Salem, Essex County, Mass.",1997,2001,"Cambridge, Mass.",2001,2002,(Unknown),2002,2008,United States Marine Corps,2008,2011,"Cambridge, Mass.",2011,2015,(Unknown),2015,Present,(Unknown),,,,,,,,,,,,,,,,,,,,,,,,
1948,1970,"Lafayette, Boulder County, Colo.",1970,2002,(unknown),2003,2007,(Congress),2007,2014,(unknown),2014,Present,(unknown),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929,1947,"Flint, Genesee County, Mich.",1947,1952,"Detroit, Mich.",1952,1955,"Detroit, Mich.",1955,1958,(Unknown),1958,1959,"University of Peshawar, Pakistan",1959,1961,"Ann Arbor, Mich.",1961,1965,(Unknown),1965,1974,Michigan state house of representatives,1974,1975,(Unknown),1975,1976,Michigan state senate,1976,1984,(Unknown),1984,2013,(Unknown),,,,,,,,,
1927,1944,"Washington, D.C.",1944,1946,(WWII),1946,1949,"Lexington, Va.",1949,1950,"Washington, D.C.",1950,1952,(Korean War),1952,1956,"Washington, D.C.",1953,1954,"Washington, D.C.",1956,1960,"Washington, D.C.",1969,1974,"Washington, D.C.",1974,1976,"Washington, D.C.",1978,1979,"Washington, D.C.",1979,2009,"Alexandria, Virginia",2021,,"Arlington National Cemetery, Arlington, Va.",,,,,,
1956,1974,"Wilmington, New Castle County, Del.",1974,1978,"Hanover, N.H.",1978,1986,"Wilmington, New Castle County, Del.",1986,1989,Washington D.C.,1989,1994,"New Castle County, Del.",1994,1997,"Dover, Del.",1997,2000,"Dover, Del.",2001,2009,"Dover, Del.",2011,2017,Washington D.C.,2017,Present,"Dover, Del.",,,,,,,,,,,,,,,
1961,1983,"Hinsdale, DuPage County, Ill.",1983,1985,(unknown),1985,1986,Texas,1986,1987,Illinois,1987,1989,"Chicago, Ill.",1989,1993,(unknown),1993,1999,Illinois state house of representatives,2000,2006,Illinois state senate,2007,2019,Washington D.C.,2019,2021,(unknown),,,,,,,,,,,,,,,
1959,1978,"Batesville, Ind.",1978,1979,"Salt Lake City, Utah",1979,1984,"West Lafayette, Ind.",1984,1990,"Cambridge, Mass.",1990,2014,(businessman),2014,2017,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,1988,"Huntsville, Madison County, Ala.",1988,1992,"Athens, Ala.",1992,2022,"Madison County, Ala.",2023,present,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,1990,"Franklin, Va.",1990,1996,"Charlotte, N.C.",1996,2012,(unknown),2012,present,North Carolina (location not specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,1974,"Fresno, Fresno County, Calif.",1974,1978,(unknown),1978,1994,California State Assembly,1994,2002,California State Senate,2002,2004,(unknown),2005,present,(U.S. Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,1964,"Washington County, Ga.",1964,1966,"Macon, Ga.",1966,1968,(US Army),1970,1971,"Northeastern Judicial Circuit, Ga.",1971,1972,"Hall County, Ga.",1972,1977,(unknown),1977,1979,"Hall County, Ga.",1981,1993,Georgia State Senate,1993,1995,(US Congress),1995,2010,US Congress,2011,2019,Governor of Georgia,,,,,,,,,,,,
1981,1999,"Southfield, Oakland County, Mich.",1999,2004,"West Point, N.Y.",2004,2012,(United States Army),2012,2014,"State College, Pa.",2014,2015,"Ann Arbor, Mich.",2015,2018,(Business Executive),2018,2020,(Unsuccessful Candidate for U.S. Senate),2020,2023,(Unsuccessful Candidate for U.S. Senate),2023,Present,Unknown (Assumed to be Washington D.C.),,,,,,,,,,,,,,,,,,
1938,1957,"Indianapolis, Marion County, Ind.",1957,1962,(US Army),1962,1967,"Indianapolis, Ind.",1967,1968,Indiana State House of Representatives,1968,1969,"Indianapolis, Ind.",1969,1970,Indiana State Senate,1970,1977,"Indianapolis, Ind.",1977,1980,Indiana State House of Representatives,1980,1981,"Indianapolis, Ind.",1981,1982,Indiana State Senate,1982,2013,Washington D.C.,,,,,,,,,,,,
1958,1980,"Boston, Mass.",1980,1985,"Boston, Mass.",1985,2004,(unknown),2004,2010,New Hampshire State Senate,2013,2016,Governor of New Hampshire,2016,2029,United States Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,1974,"Wyandotte, Wayne County, Michigan",1974,1975,United States Air Force,1985,2002,"Orange County, Fla.",2000,2010,"Orlando, Fla.",2011,2013,(Representative in Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,1975,"Streator, La Salle County, Ill.",1975,1976,"Romeoville, Ill.",1976,1979,"University of Illinois, Ill.",1980,1981,Illinois,1981,1985,Washington D.C.,1988,1994,Illinois,1995,2009,Washington D.C.,,,,,,,,,,,,,,,,,,,,,,,,
1937,1954,"Nanticoke, Luzerne County, Pa.",1954,1957,"Washington, D.C.",1957,1961,"Philadelphia, Pa.",1961,1965,"Carlisle, Pa.",1965,1971,(private practice),1971,1980,(administrative law judge),1985,2011,Pennsylvania (location not specified),,,,,,,,,,,,,,,,,,,,,,,,
1956,1975,"Bloomfield Hills, Mich.",1990,1994,"Houston, Tex.",1995,1997,(Representative in Congress),2013,2014,(Representative in Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,1982,"Baton Rouge, East Baton Rouge Parish, La.",1982,1986,"Washington, D.C.",1986,1996,"Steubenville, Ohio",1997,2001,"Lincoln, Nebr.",2001,2022,(Publishing Executive),2005,2022,Nebraska (location not specified),,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,1982,"Flushing, Queens County, N.Y.",1982,1983,"Bronx, N.Y.",1983,1986,"Ithaca, N.Y.",1986,2011,(Entrepreneur and business executive),2011,2015,Pennsylvania,2015,2019,(Unknown),2019,Present,(Current position in Congress),,,,,,,,,,,,,,,,,,,,,,,,
1978,1996,"Glendale, Los Angeles County, Calif.",1996,1998,"Seattle, Wash.",1998,2003,(Unknown),2003,2004,"Bellevue, Wash.",2005,2007,(Unknown),2007,2010,Washington State House of Representatives,2011,2023,Washington D.C.,,,,,,,,,,,,,,,,,,,,,,,,
1945,1963,"Steele Creek, Mecklenburg County, N.C.",1963,1967,"Chapel Hill, N.C.",1967,1970,"New Haven, Conn.",1970,1985,(private practice),1985,1987,North Carolina state senate,1987,2014,(US Congress),2014,2019,(Federal Housing Finance Agency),,,,,,,,,,,,,,,,,,,,,,,,
1966,1984,"Tampa, Hillsborough County, Fla.",1984,1994,"Brandon, Fla.",1994,1998,"Tallahassee, Fla.",1998,2012,(private practice),2012,2018,Florida state house of representatives,2019,2021,(One Hundred Sixteenth Congress),2021,Present,Unknown,,,,,,,,,,,,,,,,,,,,,,,,
1955,1969,"Chikodi, Karnataka, India",1969,1973,"Dharwad, India",1973,1977,"Bombay, India",1977,1982,"Akron, Ohio",1982,1984,"Ann Arbor, Mich.",1984,2021,(unknown),2021,2023,Michigan state house of representatives,2023,present,(current location),,,,,,,,,,,,,,,,,,,,,
1941,1962,"New York, New York County, N.Y.",1962,1967,"Columbus, Ohio",1967,1969,(Unknown),1969,1998,"Long Beach, Calif.",1992,1998,"Long Beach, Calif.",1998,2004,California State Assembly,2004,2012,California State Senate,2013,2022,Washington D.C.,,,,,,,,,,,,,,,,,,,,,
1935,1952,"Waco, McLennan County, Tex.",1952,1955,"Notre Dame, Ind.",1955,1967,"Fort Worth, Tex.",1967,1972,(unknown),1972,1977,Texas state house of representatives,1977,1981,"Dallas, Tex.",1981,1986,(unknown),1986,1992,Texas state senate,1993,2022,(U.S. Congress),2022,,(unknown),,,,,,,,,,,,,,,
1966,1984,"Cincinnati, Hamilton County, Ohio",1984,1988,"Oxford, Ohio",1988,1990,(Peace Corps),1990,2001,Unknown,2001,2008,Ohio State House of Representatives,2008,2009,Unknown,2009,2010,United States Congress,2010,2011,Unknown,2011,Present,"Mbabane, Swaziland",,,,,,,,,,,,,,,,,,
1942,1964,"Dickinson, Stark County, N. Dak.",1964,1966,University of Denver,1966,1969,(Unknown),1969,1980,State of North Dakota,1980,1992,(Unknown),1992,2011,United States Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,1989,Ohio,1989,1995,"West Point, N.Y.",1995,?,United States Army,?,,Business owner,?,,"Concord Township, Ohio",2016,present,United States Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,1964,"Los Angeles, Los Angeles County, Calif.",1964,1965,"Columbia, Mo.",1965,1966,(Unknown),1966,1987,United States Navy,1987,1989,(Unknown),1989,2005,"San Diego, Calif.",,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,1965,"Detroit, Mich.",1965,1971,"Brigham Young University, Utah",1971,1975,"Harvard Law School, Massachusetts",1975,2002,(Investment and consulting firms),2002,2007,Massachusetts,2008,,(Campaigning for Republican presidential nomination),2012,,(Campaigning for Republican presidential nomination),2018,2025,Utah,,,,,,,,,,,,,,,,,,,,,
1970,1988,"Columbia, Boone County, Mo.",1988,1992,"Cambridge, Mass.",1992,2009,(business/professional advocate),2009,2011,New York (location not specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,1981,"Wood-Ridge, Bergen County, N.J.",1981,1985,"New York, N.Y.",1985,1988,"Washington, D.C.",1988,2013,Private practice and business ownership,2013,2019,Maryland (location not specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,1985,"Homestead Air Force Base, Miami-Dade County, Florida",1985,1989,United States Army,1989,1996,(Unknown),1996,2011,"Jonesboro, Ark.",2011,Present,(Unknown),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946,1964,"Quitman, Jackson Parish, La.",1964,1968,"Monroe, La.",1968,1971,(US Air Force Reserve),1971,1987,(Unknown),1987,2002,Louisiana State House of Representatives,2002,2013,United States Congress (Party affiliation changed from Democrat to Republican in 2004),,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,1988,Minnesota,1988,2014,United States Navy,2014,2023,(Actor and Business Owner),2023,Present,(Current position as Representative),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,1986,"Snowflake, Navajo County, Ariz.",1986,1987,"Provo, Utah",1987,2001,(unknown),2001,2013,"House of Representatives, Washington D.C.",2013,2019,"United States Senate, Washington D.C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,1984,"Sherbrooke, Quebec, Canada",1984,1986,"Washington, D.C.",1986,1988,"Charlottesville, Va.",1988,1992,"Charlottesville, Va.",1992,1997,(private practice),1997,2000,"Washington, D.C.",2000,2006,(private practice/business),2006,2007,(unsuccessful candidate),2007,2008,New York,2008,2012,(private practice/business),2013,2022,New York,2022,,(unknown),,,,,,,,,
1954,1972,"Nashville, Davidson County, Tenn.",1972,1975,"Chapel Hill, N.C.",1975,1977,"Oxford, England",1977,1980,"Cambridge, Mass.",1980,1983,"(lawyer, private practice)",1983,1995,"Nashville, Tenn.",1995,2003,(investment banker),2003,2022,"Nashville, Tenn.",,,,,,,,,,,,,,,,,,,,,
1948,1967,"Hartford, Hartford County, Conn.",1967,1971,"New Britain, Conn.",1971,1977,(unknown),1977,1979,"East Hartford, Conn.",1979,1983,"East Hartford, Conn.",1983,1986,(unknown),1986,1998,Connecticut State Senate,1998,present,(unknown),,,,,,,,,,,,,,,,,,,,,
1962,1980,"Manhattan, New York County, N.Y.",1980,1983,"Elk Grove, Ill.",1983,1986,"Knoxville, Tenn.",1986,2011,Private practice as a lawyer,2011,Present,Tennessee (location not specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934,1959,"Pittsburgh, Pa.",1959,1962,"Pittsburgh, Pa.",1963,1969,"Pittsburgh, Pa.",1969,1976,Utah,1976,2019,Washington D.C.,2019,2022,"Salt Lake City, Utah",,,,,,,,,,,,,,,,,,,,,,,,,,,
1942,1960,"Charlotte, Mecklenburg County, N.C.",1960,1964,"York, S.C.",1964,1966,"Oxford University, Oxford, England",1966,1969,"New Haven, Conn.",1969,1971,(US Army),1971,1983,"Private practice, banker, business owner in South Carolina",1983,2011,Washington D.C. (serving in Congress),,,,,,,,,,,,,,,,,,,,,,,,
1980,1999,"Coral Springs, Broward County, Fla.",1999,2003,"Washington, D.C.",2003,2007,"Davie, Fla.",2007,2021,Private practice and various locations in Florida,2012,2019,Florida state house of representatives,2019,2021,Director of Florida department of emergency management,2022,present,"Broward County, Fla.",,,,,,,,,,,,,,,,,,,,,,,,
1955,1973,"Bryan, Brazos County, Tex.",1973,1974,"East Lansing, Mich.",1974,1978,"Athens, Ga.",1978,1985,(unknown),1985,1993,Georgia State House of Representatives,1993,2015,Washington D.C. (serving in Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,1990,"West Helena, Phillips County, Arkansas",1990,1994,"Memphis, Tenn.",1994,2019,(career),2019,present,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,1988,"Gulfport, Harrison County, Miss.",1988,1994,"Hattiesburg, Miss.",1994,1996,"Hattiesburg, Miss.",1996,2007,(Unknown),2007,2010,Mississippi State House of Representatives,2010,2023,United States Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,2002,"Bakersfield, Kern County, Calif.",2002,2005,"Boulder, Colo.",2005,2009,"Boulder, Colo.",2009,2015,"Boulder, Colo.",2015,2017,Colorado,2017,2019,(unknown),2019,present,(currently serving in Congress),,,,,,,,,,,,,,,,,,,,,,,,
1955,1972,"Fort Leonard Wood, Pulaski County, Mo.",1972,1974,(US Army),1975,1978,(US Army Reserve),1979,1982,(US Marine Corps),1983,1994,(US Marine Corps Reserve),1989,1994,Colorado State House of Representatives,1994,1998,Colorado State Senate,1999,2007,Colorado State Treasurer,2007,2008,Colorado Secretary of State,2009,2019,Washington D.C.,2019,present,"Aurora, Colo.",,,,,,,,,,,,
1952,1969,"Somerville, Middlesex County, Mass.",1969,1973,"Hanover, N.H.",1973,1977,"Chestnut Hill, Mass.",1977,1984,Massachusetts state legislature,1985,1989,"Somerville, Mass.",1990,1998,"Somerville, Mass.",1998,2019,U.S. Congress,2019,Present,Unknown,,,,,,,,,,,,,,,,,,,,,
1959,1981,"Washington, D.C.",1981,1990,"Chapel Hill, N.C.",1990,2002,"Richmond, Va.",1981,2005,Virginia (unknown location),2006,2007,Virginia (unknown location),2007,present,(unknown location in Virginia),,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,1972,"Auburn, Cayuga County, N.Y.",1972,1977,"Syracuse, N.Y.",1977,1994,"Syracuse, N.Y.",1994,1995,"Syracuse, N.Y.",1995,1997,(unknown),1997,2010,(unknown),2011,2013,(elected to Congress),2013,Current,(unknown),,,,,,,,,,,,,,,,,,,,,
1959,1977,"Maddock, Benson County, N. Dak.",1977,1978,"Wahpeton, N. Dak.",1978,1981,"Fargo, N. Dak.",1981,1984,(unknown),1984,2010,North Dakota state house of representatives,2011,2013,Washington D.C.,2013,2018,(unknown),2018,present,"North Dakota (chair, North Dakota Republican Party)",,,,,,,,,,,,,,,,,,,,,
1970,1988,"Memphis, Shelby County, Tenn.",1988,1992,"Philadelphia, Pa.",1992,1993,"Washington, D.C.",1993,1996,University of Michigan Law School,1996,2007,Tennessee (Representative),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,1993,"West Bountiful, Davis County, Utah",1993,2000,"Salt Lake City, Utah",2000,2003,"New York, N.Y.",2003,2008,(unknown),2008,2012,"Salt Lake City, Utah",2013,2019,"Salt Lake County, Utah",2019,2021,(unknown),,,,,,,,,,,,,,,,,,,,,,,,
1937,1959,"Centralia, Ill.",1959,1963,Howard University,1963,1964,U.S. Treasury Department,1964,1973,(bank executive),1973,1976,Illinois State Department of General Services,1978,1990,Illinois State Comptroller,1991,1995,Illinois State Attorney General,1995,2008,"Chicago, Ill.",2008,2010,United States Senate,,,,,,,,,,,,,,,,,,
1971,1994,"Torrance, Los Angeles County, Calif.",1994,2004,(US Navy),2004,2007,Unknown,2007,2015,"Denver, Colo.",2015,2019,"Providence, R.I.",2019,2021,Unknown,2021,Present,United States Department of Defense,,,,,,,,,,,,,,,,,,,,,,,,
1937,1955,"Paterson, Passaic County, N.J.",1955,1959,"New York, N.Y.",1959,1961,"New York, N.Y.",1961,1967,(US Army and Reserve),1967,1979,(Unknown),1979,1982,"Paterson, N.J.",1982,1988,(Unknown),1988,1996,New Jersey state general assembly,1990,1996,"Paterson, N.J.",1997,Present,(US Representative),,,,,,,,,,,,,,,
1971,1990,"Nashville, Davidson County, Tenn.",1990,2007,"Murfreesboro, Tenn.",2007,2012,(unknown),2012,2018,(unknown),2018,2022,"Maury County, Tenn.",2023,present,(unknown),,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,1956,"Los Angeles, Los Angeles County, Calif.",1956,1967,"California State University, Los Angeles, Calif.",1967,1971,"Cambridge, Mass.",1971,1973,California Department of Education,1975,1978,"Los Angeles, Calif.",1978,1998,California State Senate,1999,2000,Federated States of Micronesia,2001,2011,Washington D.C.,,,,,,,,,,,,,,,,,,,,,
1962,1980,"Seoul, South Korea",1980,1984,"Seattle, Wash.",1984,1992,"Atlanta, Ga.",1992,2008,(unknown),2008,2017,"Tacoma, Wash.",2018,2019,"Seattle, Wash.",2019,Present,(unknown),,,,,,,,,,,,,,,,,,,,,,,,
1957,1975,"Detroit, Wayne County, Mich.",1975,1976,"Exeter, N.H.",1976,1977,"Detroit, Wayne County, Mich.",1977,1980,"Byfield, Mass.",1980,1984,"Ithaca, N.Y.",1984,1987,"Washington, D.C.",1987,1989,(private practice),1989,1990,Michigan,1991,1992,Michigan state house of representatives,1999,2003,Michigan state house of representatives,2001,,"Detroit, Mich.",2003,2010,Michigan state senate,2011,2013,"Washington, D.C.",2012,,Michigan,2014,,Michigan
1964,1982,"Kenosha, Kenosha County, Wis.",1982,1986,"Madison, Wis.",1986,1991,(unknown),1991,1996,"Dane County, Wis.",1996,1999,(unknown),1999,2013,Wisconsin State Assembly,2013,Present,U.S. Congress,,,,,,,,,,,,,,,,,,,,,,,,
1944,1962,"Rockford, Winnebago County, Ill.",1962,1967,"Washington, D.C.",1970,1992,"Milwaukee, Wis.",1993,2013,(Representative) Washington D.C.,2013,Present,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1929,1947,"Harlan County, Ky.",1947,1953,"Lexington, Ky.",1953,1976,(Unknown),1976,1979,"Monroe County, N.Y.",1976,1979,New York department of state,1979,1982,New York lieutenant governor,1982,1986,New York state assembly,1987,2018,"Washington, D.C.",,,,,,,,,,,,,,,,,,,,,
1954,1972,"Alto, Richland Parish, La.",1972,1980,"Baton Rouge, La.",1980,1986,(unknown),1986,1989,Mississippi National Guard,1989,1994,(unknown),1994,2015,"New Orleans, La.",2015,2021,(Congress),2021,Present,(unknown),,,,,,,,,,,,,,,,,,,,,
1940,1959,"Bremerton, Kitsap County, Wash.",1959,1963,"Seattle, Wash.",1963,1968,"Seattle, Wash.",1968,1976,Washington D.C.,1977,2013,Washington State (exact location not specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,1975,"Russellville, Pope County, Ark.",1975,1979,"Russellville, Ark.",1979,2009,Arkansas Army National Guard,1983,1984,"Rogers, Ark.",1997,1998,"Rogers, Ark.",1999,2010,"Rogers, Ark.",2011,present,(Current position in Congress),,,,,,,,,,,,,,,,,,,,,,,,
1963,1980,"Miami Lakes, Miami-Dade County, Fla.",1980,1984,"Chapel Hill, N.C.",1984,1988,"Washington, D.C.",1988,2015,Private practice in Florida,2015,2017,"Washington, D.C.",2021,present,"United States Department of Education, Washington, D.C.",,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,1975,"Port Wentworth, Chatham County, Ga.",1975,1977,"Young Harris, Ga.",1977,1980,"Athens, Ga.",1980,1994,(Pharmacist and Business Owner),1994,1995,"Pooler, Ga.",1996,2004,"Pooler, Ga.",2005,2009,Georgia State House of Representatives,2009,2014,Georgia State Senate,2015,Present,U.S. Congress,,,,,,,,,,,,,,,,,,
1942,1962,"Shreveport, Caddo Parish, La.",1962,1966,"Baton Rouge, La.",1966,1970,"Baton Rouge, La.",1970,2008,"(United States Army Reserve, teacher, physician, businessman, real estate developer)",2006,2008,Alabama state senate,2009,2011,"Huntsville, Ala.",2011,2014,(unsuccessful candidate for nomination for One Hundred Twelfth Congress),2014,,(unsuccessful candidate for Governor of Alabama),,,,,,,,,,,,,,,,,,,,,
1961,1980,"Alpine, Brewster County, Tex.",1980,1982,"Alpine, Tex.",1982,1985,"Austin, Tex.",1985,1986,(no location given),1986,1989,State of Texas,1991,2012,Texas state house of representatives,2013,2015,(no location given),2016,,(no location given),,,,,,,,,,,,,,,,,,,,,
1954,1972,"San Antonio, Bexar County, Tex.",1972,1976,"Austin, Tex.",1976,1993,(Journalist and Broadcasting Executive),1993,2007,Washington D.C. (serving in Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936,1958,"Chicago, Cook County, Ill.",1958,1963,"Chicago, Ill.",1964,1966,"University of Illinois hospitals, Ill.",1966,1968,"University of Washington hospitals, Seattle, Wash.",1968,1970,United States Navy Medical Corps,1970,1983,"Seattle, Wash.",1971,1972,Washington state house of representatives,1975,1987,Washington state senate,1987,1988,United States Foreign Service,1989,2017,Washington D.C.,,,,,,,,,,,,,,,
1977,1995,"Schenectady, Schenectady County, N.Y.",1995,1999,"Hamilton, N.Y.",1999,2001,"Oxford, England",2001,2005,"Cambridge, Mass.",2005,2019,(private practice),2019,2022,"New York, N.Y.",2022,present,(Lieutenant Governor of New York),,,,,,,,,,,,,,,,,,,,,,,,
