familyName,givenName,middleName,profileText
McNerney,Jerry,,"a Representative from California; born in Albuquerque, Bernalillo County, N. Mex., June 18, 1951; attended the United States Military Academy, West Point, N.Y., 1969-1971; B.S., University of New Mexico, Albuquerque, N. Mex., 1973; M.S., University of New Mexico, Albuquerque, N. Mex., 1975; Ph.D., University of New Mexico, Albuquerque, N. Mex., 1981; engineer; business owner; unsuccessful candidate for election to the One Hundred Ninth Congress in 2004; elected as a Democrat to the One Hundred Tenth and to the seven succeeding Congresses (January 3, 2007-January 3, 2023); was not a candidate for reelection to the One Hundred Eighteenth Congress in 2022."
Johnson,Anton,Joseph,"A Representative from Illinois; born in Peoria, Ill., October 20, 1878; attended the public schools and the School of Agriculture of the University of Missouri at Columbia; served as first sergeant, Fifth Infantry, Company G, Illinois National Guard, 1898-1901; letter carrier, Peoria, Ill., 1900-1913; engaged in agricultural pursuits near Peoria, Ill., 1913-1921; engaged in dairy-products manufacturing in Macomb, Ill., 1926-1938; president of the Illinois Milk Dealers' Association 1931-1936; president of the Illinois Dairy Products Association in 1937; elected as a Republican to the Seventy-sixth and to the four succeeding Congresses (January 3, 1939-January 3, 1949); was not a candidate for renomination in 1948 to the Eighty-first Congress; elected mayor of Macomb, Ill., in 1949 for a four-year term but resigned after serving two years; died in Macomb, Ill., on April 16, 1958; interment in Springdale Cemetery, Peoria, Ill."
Paul,John,,"(Father of John Paul [1883-1964]), a Representative from Virginia; born in Rockingham County, Va., June 30, 1839; attended the common schools and Roanoke College, Salem, Va.; during the Civil War entered the Confederate Army and became a captain in the First Virginia Cavalry; studied law in the University of Virginia at Charlottesville and was graduated in 1867; was admitted to the bar in 1867 and commenced practice in Harrisonburg, Va.; Commonwealth attorney of Rockingham County 1870-1877; served in the State senate 1877-1880; unsuccessful candidate for election in 1878 to the Forty-sixth Congress; elected as a Readjuster Democrat to the Forty-seventh Congress (March 4, 1881-March 3, 1883); presented credentials as a Member-elect to the Forty-eighth Congress and served from March 4, 1883, until September 5, 1883, when he resigned, having been appointed to a judicial position; the election subsequently was successfully contested by Charles T. O'Farrall; appointed judge of the United States District Court for the Western District of Virginia by President Arthur and served from September 5, 1883, until his death in Harrisonburg, Va., November 1, 1901; interment in Woodbine Cemetery."
Kasich,John,Richard,"A Representative from Ohio; born in McKees Rocks, Allegheny County, Pa., May 13, 1952; attended the public schools in McKees Rocks; B.A., Ohio State University, Columbus, 1974; administrative assistant to State senator, 1975-1977; elected to the Ohio Legislature, 1979-1982; elected as a Republican to the Ninety-eighth and to the eight succeeding Congresses (January 3, 1983-January 3, 2001); chairman, Committee on the Budget (One Hundred Fourth through One Hundred Sixth Congresses); was not a candidate for reelection to the One Hundred Seventh Congress; unsuccessful candidate for the Republican nomination for President of the United States in 2016; Governor of Ohio, 2011-present."
Adams,Wilbur,Louis,"A Representative from Delaware; born in Georgetown, Sussex County, Del., October 23, 1884; attended the public schools, Delaware College, Newark, Del., and Dickinson College, Carlisle, Pa.; was graduated from the law department of the University of Pennsylvania at Philadelphia in 1907; was admitted to the bar the same year and commenced practice in Wilmington, Del.; unsuccessful candidate for election as attorney general in 1924; elected as a Democrat to the Seventy-third Congress (March 4, 1933-January 3, 1935); was not a candidate for renomination in 1934, but was an unsuccessful candidate for election to the United States Senate; moved to Georgetown, Del., in 1934 and continued the practice of law; acting postmaster of Georgetown, Del., from May 6, 1937, until his death; died in Lewes, Del., on December 4, 1937; interment in Union Cemetery, Georgetown, Del."
Negrete McLeod,Gloria,,"A Representative from California; born in Los Angeles, Los Angeles County, Calif., September 6, 1941; A.A., Chaffey Community College, Rancho Cucamonga, Calif.; instructional aide; member of the Chaffey Community College board, 1995-2000; president of the Chaffey Community College board, 2000; member of the California state assembly, 2000-2006; member of the California state senate, 2006-2012; elected as a Democrat to the One Hundred Thirteenth Congress (January 3, 2013-January 3, 2015); was not a candidate for reelection to the One Hundred Fourteenth Congress in 2014, but was an unsuccessful candidate for election to San Bernadino County, Calif., board of supervisors."
James,Rorer,Abraham,"A Representative from Virginia; born near Brosville, Pittsylvania County, Va., March 1, 1859; instructed by private tutors; attended Roanoke College; was graduated from the Virginia Military Institute at Lexington in 1882 and from the law department of the University of Virginia at Charlottesville in 1887; was admitted to the bar in 1887 and commenced practice in Danville, Va.; became owner and editor of the Danville Register in 1899 and later purchased the Danville Bee; member of the State house of delegates 1889-1892; served in the State senate 1893-1901; delegate to the Democratic National Convention in 1920; chairman of the fifth district Democratic committee; chairman of the Democratic State committee; elected as a Democrat to the Sixty-sixth Congress, by special election, to fill the vacancy caused by the resignation of United States Representative Edward W. Saunders, and reelected to the Sixty-seventh Congress (June 1, 1920-August 6, 1921); died on August 6, 1921, in Danville, Va.; interment in Green Hill Cemetery."
Moseley,Jonathan,Ogden,"A Representative from Connecticut; born in East Haddam, Conn., April 9, 1762; attended the common schools; was graduated from Yale College in 1780; studied law; was admitted to the bar and commenced practice in East Haddam, Conn.; member of the State house of representatives 1794-1804; justice of the peace of East Haddam, Conn., 1794-1817; State's attorney of Middlesex County 1801-1805; colonel of the Twenty-fourth Regiment, Connecticut Militia, in 1802; elected as a Federalist to the Ninth and to the seven succeeding Congresses (March 4, 1805-March 3, 1821); moved to Saginaw, Mich., and continued the practice of law until his death on September 9, 1838."
English,James,Edward,"A Representative and a Senator from Connecticut; born in New Haven, Conn., March 13, 1812; attended the common schools; engaged in the lumber business, banking, and manufacturing; member, New Haven board of selectmen 1847-1861; member, common council 1848-1849; member, State house of representatives 1855; member, State senate 1856-1858; unsuccessful candidate for lieutenant governor 1860; elected as a Democrat to the Thirty-seventh and Thirty-eighth Congresses (March 4, 1861-March 3, 1865); was not a candidate for renomination in 1864; unsuccessful candidate for election as Governor in 1866; elected Governor of Connecticut in 1867, 1868, and 1870; member, State house of representatives 1872; unsuccessful candidate for election in 1872 to the Forty-third Congress; appointed as a Democrat to the United States Senate to fill the vacancy caused by the death of Orris S. Ferry and served from November 27, 1875, to May 17 1876, when a successor was elected; unsuccessful candidate for election in 1876 to fill the vacancy; resumed his manufacturing and commercial activities; died in New Haven, Conn., on March 2, 1890; interment in Evergreen Cemetery."
Nugen,Robert,Hunter,"A Representative from Ohio; born near Hallidays Cove, Washington County, Pa., on July 16, 1809; moved to Ohio in 1811 with his parents, who settled in Columbiana County; received a limited education; moved to Tuscarawas County in 1828; engaged in agricultural pursuits; contractor; held several local offices; delegate to the Democratic National Convention at Charleston in 1860; elected as a Democrat to the Thirty-seventh Congress (March 4, 1861-March 3, 1863); superintendent of the Ohio Canal until his death in Newcomerstown, Tuscarawas County, Ohio, February 28, 1872; interment in Newcomerstown Cemetery."
Taylor,John,W.,"A Representative from New York; born in Charlton, N.Y., March 26, 1784; received his early education at home; was graduated from Union College, Schenectady, N.Y., in 1803; studied law; was admitted to the bar in 1807 and commenced practice in Ballston Spa, N.Y.; organized the Ballston Center Academy; justice of the peace in 1808; member of the state assembly in 1812 and 1813; elected as a Republican to the Thirteenth Congress and reelected to the four succeeding Congresses, elected as an Adams-Clay Republican to the Eighteenth Congress, reelected as an Adams candidate to the Nineteenth and Twentieth Congresses, and elected as an Anti-Jacksonian to the Twenty-first and Twenty-second Congresses (March 4, 1813-March 3, 1833); chairman, Committee on Elections (Fourteenth and Fifteenth Congresses), Committee on Revisal and Unfinished Business (Fifteenth Congress), Committee on Elections (Sixteenth Congress); Speaker of the House of Representatives (Sixteenth and Nineteenth Congresses); unsuccessful candidate for reelection in 1832 to the Twenty-third Congress; resumed the practice of law in Ballston Spa, N.Y.; member of the state senate in 1840 and 1841, but resigned in consequence of a paralytic stroke; moved to Cleveland, Ohio, in 1843, and died there September 18, 1854; interment in the Ballston Spa Village Cemetery, Ballston Spa, Saratoga County, N.Y."
Posey,Francis,Blackburn,"A Representative from Indiana; born in Petersburg, Pike County, Ind., April 28, 1848; attended the public schools, Blythewood Academy, and Indiana Asbury (now De Pauw) University, Greencastle, Ind.; was graduated from the law department of the Indiana University at Bloomington in 1869; was admitted to the bar the same year and commenced practice in Petersburg, Ind.; delegate to the Republican National Convention in 1884; unsuccessful Republican candidate for election in 1888 to the Fifty-first Congress; was subsequently elected to the Fiftieth Congress to fill the vacancy caused by the resignation of Alvin P. Hovey and served from January 29, 1889, to March 3, 1889; resumed the practice of law in Evansville, Ind.; surveyor of the port of Evansville 1903-1913; died in Rockport, Spencer County, Ind., on October 31, 1915; interment in Walnut Hills Cemetery, Petersburg, Ind."
Allen,Charles,,"A Representative from Massachusetts; born in Worcester, Mass., August 9, 1797; attended the Leicester Academy 1809-1811 and Yale College in 1811 and 1812; studied law; was admitted to the bar in 1818 and commenced practice in New Braintree; moved to Worcester in 1824 and continued the practice of law; member of the State house of representatives 1830, 1833, 1835, and 1840; served in the State senate 1836 and 1837; member of the Northeastern Boundary Commission in 1842; judge of the court of common pleas 1842-1845; delegate to the Whig National Convention at Philadelphia in 1848; elected by the Free-Soil Party to the Thirty-first and Thirty-second Congresses (March 4, 1849-March 3, 1853); was not a candidate for renomination in 1852; resumed the practice of law; member of the State constitutional convention in 1853; chief justice of the Suffolk County Superior Court 1859-1867; delegate to the peace convention held at Washington, D.C., in 1861, in an effort to devise means to prevent the impending war; died in Worcester, Mass., August 6, 1869; interment in the Rural Cemetery."
Hutto,Earl,Dewitt,"A Representative from Florida; born in Midland City, Dale County, Ala., May 12, 1926; attended the Dale County public schools; B.S., Troy State University, 1949; graduate work in broadcasting, Northwestern University, Evanston, Ill., 1951; served in United States Navy, 1944-1946; worked as sports director and president of radio stations, 1954-1974; owner of an advertising agency, 1973-1979; elected to Florida house of representatives, 1972, reelected in 1974 and 1976; elected as a Democrat to the Ninety-sixth and to the seven succeeding Congresses (January 3, 1979-January 3, 1995); not a candidate for reelection to the One Hundred Fourth Congress; died on December 14, 2020, in Pensacola, Fla."
Olin,James,R.,"A Representative from Virginia; born in Chicago, Ill., February 28, 1920; graduated from Deep Springs College, Deep Springs, Calif., 1941; received B.E.E. degree, Cornell University, Ithaca, N.Y., 1943; United States Army Signal Corps, World War II, 1943-1946; elected supervisor Town of Rotherdam, N.Y., and country board of supervisors, Schenectady County, N.Y., 1953; employed for 35 years by General Electric Co., until retirement January 1982, after serving as corporate vice president and general manager, industrial electronics division; elected as a Democrat to the Ninety-eighth and to the four succeeding Congresses (January 3, 1983-January 3, 1993); was not a candidate for renomination to the One Hundred Third Congress in 1992; died on July 29, 2006, in Charlottesville, Va."
Davidson,James,Henry,"A Representative from Wisconsin; born in Colchester, Delaware County, N.Y., June 18, 1858; attended the public schools and Walton (N.Y.) Academy; taught school in Delaware and Sullivan Counties, N.Y.; was graduated from the Albany Law School in 1884 and was admitted to the bar the same year; moved to Green Lake County, Wis., and commenced practice in Princeton in 1887; also taught school; elected district attorney of Green Lake County in 1888; chairman of the Republican congressional committee for the sixth district of Wisconsin in 1890; moved to Oshkosh, Wis., January 1, 1892, and continued the practice of law; appointed city attorney in May 1895 for two years; elected as a Republican to the Fifty-fifth and to the seven succeeding Congresses (March 4, 1897-March 3, 1913); chairman, Committee on Railways and Canals (Fifty-sixth through Sixty-first Congresses); unsuccessful candidate for reelection in 1912 to the Sixty-third Congress and for election in 1914 to the Sixty-fourth Congress; resumed the practice of his profession; elected to the Sixty-fifth Congress and served from March 4, 1917, until his death in Washington, D.C., August 6, 1918; interment in Riverside Cemetery, Oshkosh, Wis."
Ketchum,William,Matthew,"A Representative from California; born in Los Angeles on September 2, 1921; attended schools in Los Angeles County and military school in North Hollywood, Calif.; attended Colorado School of Mines, 1939-1940, and the University of Southern California, 1940-1942; entered the United States Army in 1942 and served in the Pacific before discharge in 1946; recalled into service during the Korean War and served 1950-1953; owned and operated a hardware and auto-supply store, 1946-1950; salesman, 1953-1957; engaged in cattle ranching and farming; member, Republican State Central committee, 1964-1966; member, California assembly, 1967-1972; delegate to the Republican National Convention, 1968; elected as a Republican to the Ninety-third and to the two succeeding Congresses and served from January 3, 1973, until his death in Bakersfield, Calif., on June 24, 1978."
Paca,William,,"A Delegate from Maryland; born at ``Wye Hall,'' near Abingdon, Queen Anne (now Harford) County, Md., October 31, 1740; was graduated from Philadelphia College in 1759; studied law in Annapolis, Md., and in the Middle Temple, London, England; was admitted to the bar in 1764; returned home and commenced the practice of his profession at Annapolis in 1764; member of the provincial assembly 1771-1774; Member of the Continental Congress 1774-1779; a signer of the Declaration of Independence; served in the state senate 1777-1779; chief judge of the superior court of Maryland 1778-1780; chief justice of the court of appeals in prize and admiralty cases 1780-1782; governor of Maryland from November 1782 to November 1785; was influential in establishing Washington College in Chestertown, Md., in 1786; delegate to the state convention in 1788 which ratified the Federal Constitution; appointed by President Washington as judge of the United States Court for Maryland and served from 1789 until his death at ``Wye Hall,'' Queen Anne County, Md., October 23, 1799; interment in the family burial ground, Queen Anne County, Md."
Messer,Luke,,"A Representative from Indiana; born in Evansville, Vanderburgh County, Ind., February, 27, 1969; graduated from Greensburg Community High School, Greensburg, Ind., 1987; B.A., Wabash College, Crawfordsville, Ind., 1991; J.D., Vanderbilt University, Nashville, Tenn., 1994; lawyer, private practice; staff, United States Representative John J. Duncan, Jr., of Tennessee, 1997; staff, United States Representative Ed Bryant of Tennessee, 1998; staff, United States House of Representatives Committee on Government Reform, 1999; executive director, Indiana Republican Party, 2001-2005; member of the Indiana state house of representatives, 2003-2006; unsuccessful candidate for nomination to the One Hundred Seventh Congress in 2000; unsuccessful candidate for nomination to the One Hundred Twelfth in 2010; elected as a Republican to the One Hundred Thirteenth and to the two succeeding Congresses (January 3, 2013-January 3, 2019); was not a candidate for reelection to the One Hundred Sixteenth Congress in 2018, but was an unsuccessful candidate for nomination to the United States Senate."
Fowler,Orin,,"A Representative from Massachusetts; born in Lebanon, Conn., July 29, 1791; pursued classical studies and attended Williams College, Williamstown, Mass.; was graduated from Yale College in 1814; studied theology and pursued extensive missionary work in the Valley of the Mississippi; finally settled as a minister in Plainfield, Conn., in 1820; moved to Fall River, Mass., in 1829, where he was installed as pastor of the Congregational Church in 1831; wrote a history of Fall River in 1841; served in the State senate in 1848; elected as a Whig to the Thirty-first and Thirty-second Congresses and served from March 4, 1849, until his death in Washington, D.C., September 3, 1852; interment in the North Burial Ground, Fall River, Mass."
Meigs,Henry,,"A Representative from New York; born in New Haven, Conn., October 28, 1782; attended the common schools; was graduated from Yale College in 1799; studied law; was admitted to the bar and commenced practice in New York City; served in the War of 1812 with the rank of adjutant; member of the state assembly in 1818; elected as a Republican to the Sixteenth Congress (March 4, 1819-March 3, 1821); chairman, Committee on Expenditures on Public Buildings (Sixteenth Congress); served as president of the board of aldermen of New York City in 1832 and 1833; judge of one of the city courts and afterward clerk of the court of general sessions; elected recording secretary of the American Institute in 1845, and retained this position in connection with the secretaryship of the Farmers' Club until his death; died in New York City on May 20, 1861; interment in St. Ann's Churchyard, Perth Amboy, N.J."
Harris,William,Julius,"(Great-grandson of Charles Hooks), a Senator from Georgia; born in Cedartown, Polk County, Ga., February 3, 1868; attended the common schools and graduated from the University of Georgia at Athens in 1890; engaged in the general insurance business and banking at Cedartown; served as private secretary to United States Senator Alexander S. Clay 1904-1909; member, State senate 1911-1912; Director of the United States Census Bureau 1913-1915, when he resigned to become a member of the Federal Trade Commission; Acting Secretary of the Department of Commerce 1913-1915; member of the Federal Trade Commission 1915-1918, when he resigned to become a candidate for United States Senator; chairman of the commission 1917-1918; elected as a Democrat to the United States Senate in 1918; reelected in 1924 and in 1930 and served from March 4, 1919, until his death; member of the National Forest Reservation Commission 1929-1932; died in Washington, D.C., April 18, 1932; funeral services were held in the Chamber of the United States Senate; interment in Greenwood Cemetery, Cedartown, Ga."
Livermore,Edward,St. Loe,"A Representative from Massachusetts; born in Portsmouth, N.H., April 5, 1762; pursued classical studies; studied law; was admitted to the bar and commenced practice in Concord, N.H., in 1783 and later practiced in Portsmouth, N.H.; United States district attorney 1789-1797; State solicitor for Rockingham County 1791-1793; associate justice of the State supreme court 1797-1799; naval officer for the port of Portsmouth 1799-1802; moved to Newburyport, Mass., in 1802; elected as a Federalist to the Tenth and Eleventh Congresses (March 4, 1807-March 3, 1811); was not a candidate for renomination in 1810; resumed the practice of law; moved to Boston, Mass., in 1811, thence to Zanesville, Ohio, in 1815; returned to Boston, and then moved to Tewksbury, Middlesex County, Mass., where he lived in retirement until his death there on September 15, 1832; interment in the Granary Burying Ground, Boston, Mass."
Webb,Edwin,Yates,"A Representative from North Carolina; born in Shelby, Cleveland County, N.C., May 23, 1872; attended the Shelby Military Institute, and was graduated from Wake Forest (N.C.) College in June 1893; studied law at the University of North Carolina at Chapel Hill in 1893 and 1894; was admitted to the bar in 1894 and commenced practice in Shelby; entered the University of Virginia Law School at Charlottesville in 1896 and completed a postgraduate course; member of the State senate in 1901; appointed a trustee of Wake Forest College in 1898; appointed trustee of the Agricultural and Mechanical College of Raleigh by the legislature in 1899 and served two years; chairman of the Democratic senatorial district in 1896; chairman of the Democratic county executive committee 1898-1902; temporary chairman of the Democratic State convention in 1900; elected as a Democrat to the Fifty-eighth and to the eight succeeding Congresses and served from March 4, 1903, to November 10, 1919, when he resigned to accept a judicial position; chairman, Committee on the Judiciary (Sixty-third through Sixty-fifth Congresses); one of the managers appointed by the House of Representatives in 1912 to conduct impeachment proceedings against Robert W. Archbald, judge of the United States Commerce Court; appointed United States district judge for the western district of North Carolina November 5, 1919, and served until his retirement March 1, 1948; died while visiting in Wilmington, N.C., February 7, 1955; interment in Sunset Cemetery, Shelby, N.C."
Maury,Abram,Poindexter,"A Representative from Tennessee; born near Franklin, Williamson County, Tenn., December 26, 1801; completed preparatory studies and was editor of a newspaper in St. Louis, Mo., at the age of sixteen; entered the United States Military Academy, West Point, N.Y., in 1820, but left the following year to study law and edit a newspaper in Nashville, Tenn.; member of the state house of representatives in 1831, 1832, 1843, and 1844; was admitted to the bar in 1839 and practiced in Williamson County; elected as an Anti-Jacksonian to the Twenty-fourth Congress and reelected as a Whig to the Twenty-fifth Congress (March 4, 1835-March 3, 1839); was not a candidate for renomination in 1838; resumed the practice of law in Williamson County; also engaged in literary pursuits and lecturing; served in the state senate in 1845 and 1846; died near Franklin, Tenn., July 22, 1848; interment in the family cemetery at his home near Franklin, Tenn."
Hill,William,David,"A Representative from Ohio; born in Nelson County, Va., October 1, 1833; attended the country schools and Antioch College; moved to Springfield, Ohio, and published the Ohio Press in 1858; studied law; was admitted to the bar in 1859 and commenced practice in Springfield, Ohio; mayor of Springfield 1861-1863; member of the State house of representatives 1866-1870; member of the Board of Education of Defiance, Ohio; superintendent of insurance 1875-1878; delegate to the Democratic National Convention in 1880 and 1888; elected as a Democrat to the Forty-sixth Congress (March 4, 1879-March 3, 1881); elected to the Forty-eighth and Forty-ninth Congresses (March 4, 1883-March 3, 1887); chairman, Committee on Territories (Forty-ninth Congress); unsuccessful candidate for reelection in 1886 to the Fiftieth Congress; resumed the practice of law in Defiance, Ohio; moved to Kalispell, Mont., in 1891; returned to Defiance in 1896 and continued the practice of law; city solicitor of Defiance 1903-1905; died near Litchfield, Ill., while en route to Los Angeles, Calif., December 26, 1906; interment in Riverside Cemetery, Defiance, Ohio."
Witherspoon,Robert,,"A Representative from South Carolina; born near Kingstree, Williamsburg County, S.C., January 29, 1767; attended local schools; elected State treasurer in 1800 and served one term; was a member of the State house of representatives, 1792-1794, 1802-1804, 1806-1808, 1816-1817; elected as a Republican to the Eleventh Congress (March 4, 1809-March 3, 1811); declined to be a candidate for reelection; had large planting interests in Sumter County, S.C.; opposed the nullification act in 1832; died near Mayesville, Sumter County, S.C., October 11, 1837; interment in the Salem Brick Church Cemetery."
Gingery,Don,,"A Representative from Pennsylvania; born in Woodland, Clearfield County, Pa., February 19, 1884; moved to Clearfield, Pa., in 1892; attended the public schools of Clearfield, Pa., Mercersburg (Pa.) Academy, and Ohio Northern University at Ada; was engaged in the hardware and mine-supply business from 1902 to 1934; also engaged as a civil engineer in 1903; member of the State house of representatives in 1915 and 1916; served in the Pennsylvania National Guard, in grades from private to captain, 1902-1906; chairman of the Clearfield County Democratic committee in 1916 and 1917; member of the Democratic State committee in 1919 and 1920; member of the official delegation attending the inauguration of President Manuel Quezon of the Philippine Republic at Manila, in 1935; elected as a Democrat to the Seventy-fourth and Seventy-fifth Congresses (January 3, 1935-January 3, 1939); unsuccessful candidate for reelection in 1938 to the Seventy-sixth Congress; associated with the Bituminous Coal Division, the Coal Mines Administration, and the Solid Fuels Administration for War of the United States Department of the Interior, at Altoona, Pa., 1939-1946; died in Clearfield, Pa., October 15, 1961; interment in Hillcrest Cemetery."
