id,start_1,end_1,location_1,start_2,end_2,location_2,start_3,end_3,location_3,start_4,end_4,location_4,start_5,end_5,location_5,start_6,end_6,location_6,start_7,end_7,location_7,start_8,end_8,location_8,start_9,end_9,location_9,start_10,end_10,location_10,start_11,end_11,location_11,start_12,end_12,location_12,start_13,end_13,location_13,start_14,end_14,location_14,fips1,error1,fips2,error2,fips3,error3,fips4,error4,fips5,error5,fips6,error6,fips7,error7,fips8,error8,fips9,error9,fips10,error10,fips11,error11,fips12,error12,fips13,error13,fips14,error14
C001063,1955,1970,"Laredo, Webb County, Tex.",1970,1974,"Laredo, Tex.",1974.0,1976.0,"Laredo, Tex.",1976,1978,"Washington, D.C.",1978.0,1981,"Austin, Tex.",1981,1982,"Laredo, Tex.",1982,1998,"Austin, Tex.",1987,2001,(Texas state house of representatives),2001,,(Texas secretary of state),2005,present,(Congress),,,,,,,,,,,,,48479,,48479,,48479,,11001,,48453,,48479,,48453,,,Not a location,,Not a location,,Not a location,,,,,,,,
D000605,1949,1963,"Elyria, Lorain County, Ohio",1963,1967,"Elyria, Ohio",1967.0,1996.0,Virginia,1996,2004,(Virginia state house of delegates),2005.0,2009,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,39093,,39093,,,No county matched to string from Google,,Not a location,,Not a location,,,,,,,,,,,,,,,,,,
M001159,1969,1982,"Salem, Marion County, Oreg.",1982,1986,"Kettle Falls, Wash.",1986.0,1990.0,"Pensacola, Fla.",1990,1994,(family orchard business),1994.0,2002,(member of the Washington state house of representatives),2002,2004,"Seattle, Wash.",2005,present,(Congress),,,,,,,,,,,,,,,,,,,,,,41047,,53065,,12033,,,Not a location,,Not a location,53033,,,Not a location,,,,,,,,,,,,,,
R000578,1950,1966,"Detroit Lakes, Becker County, Minn.",1966,1968,"Kent, Wash.",1968.0,1970.0,"Portland, Oreg.",1971,1976,(United States Air Force Reserve),1972.0,1997,"King County, Wash.",1997,2004,"King County, Wash.",2005,2019,(Congress),,,,,,,,,,,,,,,,,,,,,,27005,,53033,,41051,,,Not a location,53033,,53033,,,Not a location,,,,,,,,,,,,,,
M001160,1951,1965,"Racine, Racine County, Wis.",1965,1969,"Milwaukee, Wis.",1969.0,1978.0,"Milwaukee, Wis.",1989,1992,(Wisconsin state assembly),1993.0,2004,(Wisconsin state senate),2005,present,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,55101,,55079,,55079,,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,,,
M001163,1944,1962,"Poston, La Paz County, Ariz.",1962,1966,"Berkeley, Calif.",1992.0,1993.0,"(staff, transition team for President-elect William J. Clinton)",1993,1998,"(Office of the Public Liaison, President William J. Clinton administration)",2005.0,present,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,04012,,06001,,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,,,,,
C001064,1955,1973,"Los Angeles, Los Angeles County, Calif.",1973,1977,"Los Angeles, Calif.",1977.0,2000.0,"Los Angeles, Calif. (as a certified public accountant and auto dealer)",2000,2004,(member of the California state assembly),2004.0,2005,(member of the California state senate),2005,2015,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,06037,,,More than one matched place from Google,,Not a location,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,,,
S001164,1951,1970,Ohio,1970,1974,"Cincinnati, Ohio",1989.0,2000.0,"Miami Township, Ohio",2000,2004,(Ohio state house of representatives),2005.0,2013,(Congress),2021,present,(Ohio state house of representatives),,,,,,,,,,,,,,,,,,,,,,,,,,No county matched to string from Google,39061,,,More than one matched place from Google,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,,,
S001166,1953,1971,"Floresville, Wilson County, Tex.",1971,1975,"San Antonio, Tex.",1975.0,1979.0,"Galveston, Tex.",1979,2002,"Houston, Tex. (Baylor College of Medicine)",2002.0,2006,"Houston, Tex. (City Council)",2006,2007,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,48493,,48029,,48167,,48201,,,Not a location,,Not a location,,,,,,,,,,,,,,,,
S001165,1951,1969,"Bejucal, Cuba",1969,1970,"West New York, N.J.",1970.0,1974.0,"Jersey City, N.J.",1974,1985,"Middlebury, Vt.",1985.0,1995,(businessman; teacher),1995,2007,"West New York, N.J.",2000,2006,(member of the New Jersey state general assembly),2006,2023,(Congress),,,,,,,,,,,,,,,,,,,,,34017,,34017,,50001,,,Not a location,34017,,,Not a location,,Not a location,,,,,,,,,,,,
D000327,1940,1955,"Bremerton, Kitsap County, Wash.",1955,1959,"Bremerton, Wash.",1959.0,1963.0,"Seattle, Wash.",1963,1968,"Seattle, Wash.",1968.0,1976,"(staff, United States Senator Warren G. Magnuson of Washington)",1977,2013,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,53035,,53035,,53033,,53033,,,Not a location,,Not a location,,,,,,,,,,,,,,,,
K000172,1929,1943,"Flint, Genesee County, Mich.",1943,1947,"Flint, Mich.",1947.0,1952.0,"Detroit, Mich.",1952,1955,"Detroit, Mich.",1958.0,1959,"Peshawar, Pakistan",1959,1961,"Ann Arbor, Mich.",1965,1974,(Michigan state house of representatives),1975,1976,(Michigan state senate),1977,2013,(Congress),,,,,,,,,,,,,,,,26049,,26049,,26163,,26163,,,,26161,,,Not a location,,Not a location,,Not a location,,,,,,,,,,
L000169,1942,1960,"Davenport, Scott County, Iowa",1960,1964,Princeton. N.J.,1964.0,1966.0,"Washington, D.C.",1966,1968,"London, England",1968.0,1969,"(foreign service officer, United States Department of State)",1969,1970,"(special assistant to director, Office of Economic Opportunity)",1971,1972,(Delegation to Geneva Disarmament Conference and United Nations General Assembly),1975,,(United Nations Conference on Natural Resources),1975,,(United States Advisory Commission on International Education and Cultural Affairs),1975,1976,(Federal Home Loan Bank Board),1977,2007,(Congress),,,,,,,,,,19163,,34021,,11001,,,,,Not a location,,Not a location,,Not a location,,Not a location,,Not a location,,Not a location,,Not a location,,,,,,
M000133,1946,1960,"Malden, Middlesex County, Mass.",1960,1964,"Malden, Mass.",1964.0,1968.0,"Chestnut Hill, Mass.",1968,1972,"Chestnut Hill, Mass.",1973.0,1976,(Massachusetts state house of representatives),1976,2013,(Congress),2013,2027,(U.S. Senate),,,,,,,,,,,,,,,,,,,,,,25017,,25017,,25017,,25017,,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,
R000011,1949,1965,"Beckley, Raleigh County, W.Va.",1965,1967,"Beckley, W.Va.",1967.0,1971.0,"Durham, N.C.",1971,1972,"Washington, D.C.",1971.0,1974,"(Office of the Majority Whip, United States Senate)",1977,2015,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,54081,,54081,,37063,,11001,,,Not a location,,Not a location,,,,,,,,,,,,,,,,
S000465,1931,1945,"Lexington, Lafayette County, Mo.",1945,1949,"Lexington, Mo.",1949.0,1953.0,"Edinburgh, Scotland",1953,1956,"Columbia, Mo.",1957.0,1960,"Lafayette County, Mo.",1961,1963,(Missouri state attorney general),1971,1977,(Missouri state senate),1977,2011,(Congress),2011,2013,"Arlington, Va.",2013,,"Lexington, Mo. (Machpelah Cemetery)",,,,,,,,,,,,,29107,,29107,,,,29019,,29107,,,Not a location,,Not a location,,Not a location,,More than one matched place from Google,,Not a location,,,,,,,,
A000361,1946,1960,"Quitman, Jackson Parish, La.",1960,1964,"Jonesboro, La.",1964.0,1968.0,"Monroe, La.",1965,1971,(United States Air Force reserve),1987.0,2002,(Louisiana state house of representatives),2003,2013,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,22049,,22049,,22073,,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,,,
L000274,1934,1952,"Seattle, King County, Wash.",1952,1956,"San Bernardino, Calif.",1956.0,1957.0,"Los Angeles, Calif.",1957,1964,(Coro Foundation),1964.0,1968,"San Bernardino, Calif.",1966,1968,"(staff, United States Representative Jerry Pettis of California)",1969,1978,(member of the California state assembly),1979,2013,(Congress),,,,,,,,,,,,,,,,,,,53033,,06071,,,More than one matched place from Google,,Not a location,06071,,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,
L000517,1946,1960,"Long Beach, Los Angeles County, Calif.",1960,1964,"Long Beach, Calif.",1964.0,1968.0,"South Bend, Ind.",1968,1969,"Los Angeles, Calif.",1969.0,1971,"Washington, D.C.",1971,1979,"(staff for United States Senators George Murphy, California and Bill Brock, Tennessee)",1979,1989,(Congress),1991,1995,(California State attorney general),2005,2013,(Congress),,,,,,,,,,,,,,,,06037,,06037,,18141,,,More than one matched place from Google,11001,,,Not a location,,Not a location,,Not a location,,Not a location,,,,,,,,,,
S000005,1938,1955,"Crosby, Divide County, N.D.",1955,1959,"Minneapolis, Minn.",1959.0,1960.0,"Minneapolis, Minn.",1960,1978,(Minnesota state house of representatives),1979.0,2007,(Congress),2007,2016,"Minneapolis, Minn.",,,,,,,,,,,,,,,,,,,,,,,,,38023,,27053,,27053,,,Not a location,,Not a location,27053,,,,,,,,,,,,,,,,,
S000244,1943,1961,"Chicago, Cook County, Ill.",1961,1965,"Stanford, Calif.",1965.0,1968.0,"Madison, Wis.",1969,1975,Wisconsin (Wisconsin state assembly),1975.0,1979,Wisconsin (Wisconsin state senate),1979,2021,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,17031,,06085,,55025,,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,,,
T000188,1941,1959,"Wallace, Shoshone County, Idaho",1959,1961,"Santa Ana, Calif.",1961.0,1965.0,"San Francisco, Calif.",1965,1974,"Bakersfield, Calif.",1974.0,1978,(California state assembly),1979,2007,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,16079,,06059,,06075,,06029,,,Not a location,,Not a location,,,,,,,,,,,,,,,,
P000265,1940,1954,"Marinette, Marinette County, Wis.",1954,1958,"Fond du Lac, Wis.",1958.0,1962.0,"Cambridge, Mass.",1962,1965,"Cambridge, Mass.",1965.0,,(clerk to United States Judge James Doyle of the Western District of Wisconsin),1966,1967,(Peace Corps volunteer),1969,1970,(White House aide),1973,1979,(member of the Wisconsin state senate),1979,2015,(Congress),,,,,,,,,,,,,,,,55075,,55039,,25017,,25017,,,Not a location,,Not a location,,Not a location,,Not a location,,Not a location,,,,,,,,,,
I000023,1959,1973,"Savannah, Chatham County, Ga.",1973,1977,"Bluffton, S.C.",1977.0,1981.0,"Durham, N.C.",1981,1984,"Charlottesville, Va.",1993.0,1999,(Congress),2005,2011,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,13051,,45013,,37063,,51540,,,Not a location,,Not a location,,,,,,,,,,,,,,,,
C000537,1940,1953,"Sumter, Sumter County, S.C.",1953,1957,"Camden, S.C.",1957.0,1961.0,"Orangeburg, S.C.",1961,1965,(teacher; newspaper publisher),1965.0,1966,"(employment counselor, South Carolina state employment security commission)",1966,1968,"Charleston County, S.C.",1968,1971,"(executive director, South Carolina state commission for farm workers)",1971,1974,"(staff, Governor John C. West of South Carolina)",1974,1992,(South Carolina human affairs commissioner),1993,present,(Congress),,,,,,,,,,,,,45085,,45055,,45075,,,Not a location,,Not a location,45019,,,Not a location,,Not a location,,Not a location,,Not a location,,,,,,,,
B000617,1954,1970,"San Antonio, Bexar County, Tex.",1970,1972,"San Antonio, Tex.",1972.0,1976.0,"Austin, Tex.",1993,2007,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48029,,48029,,48453,,,Not a location,,,,,,,,,,,,,,,,,,,,
G000410,1947,1963,"Houston, Harris County, Tex.",1963,1967,"Houston, Tex.",1967.0,1971.0,"Houston, Tex.",1973,1977,"Houston, Tex.",1973.0,1985,(Texas state house of representatives),1985,1993,(Texas state senate),1993,2019,(Congress),,,,,,,,,,,,,,,,,,,,,,48201,,48201,,48201,,48201,,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,,,
J000126,1935,1952,"Waco, McLennan County, Tex.",1952,1955,"Notre Dame, Ind.",1955.0,1967.0,"Fort Worth, Tex.",1967,1976,"Dallas, Tex.",1972.0,1977,(Texas state house of representatives),1977,1981,"(United States Department of Health, Education and Welfare)",1986,1992,(Texas state senate),1993,2023,(Congress),,,,,,,,,,,,,,,,,,,48309,,18141,,48439,,48113,,,Not a location,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,
S000185,1947,1961,"Washington, D.C.",1961,1965,"Groton, Mass.",1965.0,1969.0,"Cambridge, Mass.",1969,1973,"Boston, Mass.",1970.0,1974,(United States Army Reserve),1974,1976,(Massachusetts Army National Guard),1978,1983,Virginia,1983,1993,Virginia,1993,present,(Congress),,,,,,,,,,,,,,,,11001,,25017,,25017,,25025,,,Not a location,,Not a location,,No county matched to string from Google,,No county matched to string from Google,,Not a location,,,,,,,,,,
G000289,1952,1966,"Holyoke, Hampden County, Mass.",1966,1970,"Springfield, Mass.",1970.0,1974.0,"Lewiston, Maine",1974,1977,"Lexington, Va.",1977.0,1979,"(staff, United States Representative M. Caldwell Butler of Virginia)",1993,2019,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,25013,,25013,,23001,,51678,,,Not a location,,Not a location,,,,,,,,,,,,,,,,
M000472,1948,1966,"Watertown, Jefferson County, N.Y.",1966,1970,"Utica, N.Y.",1970.0,1977.0,"New York, N.Y.",1971,1976,"Watertown, N.Y.",1976.0,1985,(liaison with local governments for New York state Senator H. Douglas Barclay),1985,1993,(member of the New York state senate),1993,2009,(Congress),2009,2015,(Secretary of the Army),,,,,,,,,,,,,,,,,,,36045,,36065,,36061,,36045,,,Not a location,,Not a location,,Not a location,,Not a location,,,,,,,,,,,,
C000868,1947,1965,"Huntsville, Madison County, Ala.",1965,1969,University of Alabama,1969.0,1972.0,University of Alabama Law School,1972,1976,United States Army,1976.0,1978,United States Army Reserves,1973,1975,"Madison County, Ala.",1981,1990,"Madison County, Ala.",1991,2009,(Congress),,,,,,,,,,,,,,,,,,,01089,,01125,,01125,,,No county matched to string from Google,,No matched places from Google,01089,,01089,,,Not a location,,,,,,,,,,,,
P000099,1943,1962,"Claypool, Gila County, Ariz.",1962,1966,"Tempe, Ariz.",1971.0,1974.0,"Tempe, Ariz.",1977,1991,"Maricopa County, Ariz.",1991.0,2015,(Congress),2015,2018,"Phoenix, Ariz.",,,,,,,,,,,,,,,,,,,,,,,,,04007,,04013,,04013,,04013,,,Not a location,04013,,,,,,,,,,,,,,,,,
D000429,1950,1964,"Glendale, Los Angeles County, Calif.",1964,1968,"Cupertino, Calif.",1968.0,1972.0,"Santa Cruz, Calif.",1974,1978,"Stockton, Calif.",1981.0,1990,(California state senate),1991,2009,(Congress),,,,,,,,,,,,,,,,,,,,,,,,,06037,,06085,,06087,,06077,,,Not a location,,Not a location,,,,,,,,,,,,,,,,
