id,start_1,end_1,location_1,start_2,end_2,location_2,start_3,end_3,location_3,start_4,end_4,location_4,start_5,end_5,location_5,start_6,end_6,location_6,start_7,end_7,location_7,start_8,end_8,location_8,start_9,end_9,location_9,start_10,end_10,location_10,start_11,end_11,location_11,start_12,end_12,location_12,start_13,end_13,location_13,start_14,end_14,location_14,start_15,end_15,location_15,start_16,end_16,location_16,start_17,end_17,location_17,start_18,end_18,location_18
D000603,1958,1972,"Montreal, Quebec, Canada",1972,1976,"West Pittsburgh, Pa.",1976,1981,"West Point, N.Y.",1981,1987,U.S. Army,1987-2002,,Manufacturer and consultant,2002,2004,Unsuccessful candidate for election,2005,2012,"Kentucky, U.S. House of Representatives",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J000287,1971,1988,"Baton Rouge, East Baton Rouge Parish, La.",1988,1991,"Providence, R.I.",1991,1994,"Oxford, England",1994,1996,"Baton Rouge, East Baton Rouge Parish, La.",1996-1998,,"Baton Rouge, East Baton Rouge Parish, La.",1998,1999,Washington D.C.,1999,2001,Louisiana,2001,2003,Washington D.C.,2003,2005,Louisiana,2005,2008,Congress,2008,2016,Louisiana,,,,,,,,,,,,,,,,,,,,,
M001161,1947,1965,"Napoleonville, Assumption Parish, La.",1965,1971,"Lafayette, La.",1971,1987,Louisiana (Businessman),1987,1993,Louisiana State House of Representatives,2005-2011,,Congress,2010,,(Unsuccessful Senate Candidate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B001255,1956,1974,"New Orleans, Orleans Parish, La.",1974,1978,"Lafayette, La.",1978,1982,"New Orleans, La.",1982,2005,Surgeon (Location not specified),2005-2017,,Congress,2016,,Candidate for United States Senate (Location not specified),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001161,1937,1955,"Battle Creek, Calhoun County, Mich.",1955,1959,University of Michigan,1959,1964,"Detroit, Mich.",1964,1965,Physician,1965-1967,,United States Navy,1968,1970,Central Intelligence Agency,1979,1985,"Battle Creek, Mich.",1985,1987,"Battle Creek, Mich.",1987,2002,Michigan state senate,2005,2007,Congress,,,,,,,,,,,,,,,,,,,,,,,,
C001060,1958,1975,"Columbia, Boone County, Mo.",1975,1979,"University of Missouri, Columbia, Mo.",1979,1983,"University of Missouri School of Law, Columbia, Mo.",1983,2000,"(Various locations, possibly Missouri)",2000-2004,,Missouri State House of Representatives,2005,2013,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C001061,1944,1963,"Wichita Falls, Tex.",1963,1972,"Prairie View, Tex.",1972,1974,"Kansas City, Mo.",1974,2005,"Kansas City, Mo.",2005-present,,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F000449,1960,1982,"Baton Rouge, East Baton Rouge Parish, La.",1982,1986,"Washington, D.C.",1986,1996,"Steubenville, Ohio",1996,2022,"Lincoln, Nebr.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H001038,1959,1978,"Buffalo, Erie County, N.Y.",1978,1984,"Buffalo, N.Y.",1984,1985,"Buffalo, N.Y.",1985,1996,"Buffalo, N.Y.",1996-1998,,"Cambridge, Mass.",1998,2005,"Buffalo, N.Y.",1988,1994,"Buffalo, N.Y.",1999,2004,New York,2005,Present,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,
K000364,1943,1962,"Bath, Steuben County, N.Y.",1962,1966,"Schenectady, N.Y.",1966,1969,"Syracuse, N.Y.",1969,1981,Private practice,1981-1986,,New York state assembly,1987,2004,New York state senate,2005,2009,Congress,2009,present,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F000450,1943,1961,"New York, New York County, N.Y.",1961,1968,"Chapel Hill, N.C.",1968,1972,"Chapel Hill, N.C.",1972,1985,"Greensboro, N.C.",1985-1987,,"Hudson, N.C.",1987,1994,"Boone, N.C.",1994,2004,"Spruce Pine, N.C.",2004,Present,North Carolina,2005,Present,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001156,1975,1994,"Charlotte, Mecklenburg County, N.C.",1994,1996,"Raleigh, N.C.",1996,1999,"Belmont, N.C.",1999,2001,Realtor,2001-2002,,Washington D.C. (U.S. Secretary of Labor),2002,2004,North Carolina,2005,Present,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B001254,1973,1989,"Shawnee, Pottawatomie County, Okla.",1989,1997,"Fort Worth, Tex.",1997,2001,Oklahoma,2001,2002,"Staff, United States Representative Wesley Watkins of Oklahoma",2002-2004,,Oklahoma state house of representatives,2005,2013,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F000451,1963,1981,"Philadelphia, Philadelphia County, Pa.",1981,1985,"Miami Gardens, Florida",1985,1988,"Carlisle, Pa.",1988,1995,Private practice,1995-2004,,"Bucks County, Pa.",2005,2007,Congress,2007,2011,(Not in Congress),2011,2017,Congress,2017,2020,(Not in Congress),2020,,"Upper Makefield Township, Pa.",,,,,,,,,,,,,,,,,,,,,,,,
S001162,1948,1966,"Queens, Queens County, N.Y.",1966,1970,"Boston, Mass.",1970,1972,"Bryn Mawr, Pa.",1972,1991,Health care executive,1991-2004,,Pennsylvania state senate,2005,2015,Congress,2014,,Candidate for Governor of Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D000604,1960,1978,"Allentown, Lehigh County, Pa.",1978,1982,"University Park, Pa.",1982,1993,"Various locations (staff, sales representative, hotel clerk)",1993,1998,Pennsylvania (state house of representatives),1999-2004,,Pennsylvania (state senate),2005,2018,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G000552,1953,1969,"Pittsburg, Camp County, Tex.",1969,1971,"Mount Pleasant, Tex.",1971,1975,"College Station, Tex.",1975,1977,"Waco, Tex.",1978-1982,,(U.S. Army),1982,1992,"Private practice, Tex.",1992,2002,"Smith County, Tex.",2002,2003,Texas state twelfth circuit court of appeals,2005,2023,Congress,2023,Present,Texas,,,,,,,,,,,,,,,,,,,,,,,,
P000592,1948,1966,"Temple, Bell County, Tex.",1966,1970,"Abilene, Tex.",1970,1973,"Houston, Tex.",1973,1981,"Harris County, Houston, Tex.",1981-2003,,"Harris County, Houston, Tex.",2005,2019,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G000553,1947,1966,"New Orleans, Jefferson Parish, La.",1966,1971,"Tallahassee, Fla.",1971,1974,"Tuskegee, Ala.",1974,2005,"Houston, Tex.",2005-Present,,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001157,1962,1980,"Dallas, Dallas County, Tex.",1980,1984,"San Antonio, Tex. (Trinity University)",1984,1987,"San Antonio, Tex. (St. Mary’s University)",1987,2005,Texas (Private practice and deputy attorney general),2005-Present,,Congress (Texas Representative),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C001062,1948,1966,"Borger, Hutchinson County, Tex.",1966,1970,"Commerce, Tex.",1970,1972,United States Army,1972,1985,"Midland, Tex.",1985-1988,,"Midland, Tex.",2005,2021,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001158,1951,1969,"Bonham, Fannin County, Tex.",1969,1974,"Bethany, Okla.",1975,1976,"Kansas City, Mo.",1976,1980,Real estate developer,1980-1984,,"Carrollton, Tex.",1984,1987,"Carrollton, Tex.",1987,2004,Texas,2005,2021,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C001063,1955,1974,"Laredo, Webb County, Tex.",1974,1976,"Laredo, Tex.",1976,1978,"Washington, D.C.",1978,1981,"Austin, Tex.",1981-1982,,"Laredo, Tex.",1982,1998,"Austin, Tex.",1998,2001,Private practice,1987,2001,Texas,2001,,Texas,2005,present,Congress,,,,,,,,,,,,,,,,,,,,,,,,
D000605,1949,1967,"Elyria, Lorain County, Ohio",1967,1996,Virginia (as a realtor and business owner),1996,2004,Virginia (as a member of the state house of delegates),2005,2009,Congress,2009-Present,,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001159,1969,1986,"Salem, Marion County, Oreg.",1986,1990,"Pensacola, Fla.",1990,1994,"Kettle Falls, Wash.",1994,2004,Washington State,2002-2004,,"Seattle, Wash.",2005,Present,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R000578,1950,1968,"Detroit Lakes, Becker County, Minn.",1968,1970,"Kent, Wash.",1970,1971,"Portland, Oreg.",1971,1976,United States Air Force Reserve,1976,,United States Air Force,1972,1997,"King County, Wash.",1997,2004,"King County, Wash.",2005,2019,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001160,1951,1969,"Racine, Racine County, Wis.",1969,1978,"Milwaukee, Wis.",1978,1989,Wisconsin (housing officer),1989,1992,Wisconsin state assembly,1993-2004,,Wisconsin state senate,2005,present,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001163,1944,1962,"Poston, La Paz County, Ariz.",1962,1966,"Berkeley, Calif.",1966,1992,Unspecified,1992,1993,Transition team for President-elect William J. Clinton,1993-1998,,"Office of the Public Liaison, President William J. Clinton administration",1998,2005,Professional advocate,2005,Present,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C001064,1955,1973,"Los Angeles, Los Angeles County, Calif.",1973,1977,"University of California, Los Angeles, Calif.",1977,2000,"Los Angeles, Calif. (as a certified public accountant and auto dealer)",2000,2004,California (as a member of the California state assembly),2004-2005,,California (as a member of the California state senate),2005,2015,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001164,1951,1974,"Cincinnati, Ohio",1974,1993,"Cincinnati, Ohio",1993,2000,"Miami Township, Ohio",2000,2004,Ohio State House of Representatives,2005-2013,,Congress,2013,2021,Ohio,2021,Present,Ohio State House of Representatives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001166,1953,1971,"Floresville, Wilson County, Tex.",1971,1975,"San Antonio, Tex.",1975,1979,"Galveston, Tex.",1979,2002,"Houston, Tex. (Baylor College of Medicine)",2002-2006,,"Houston, Tex. (City Council)",2006,2007,Congress,2007,2008,"Houston, Tex.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S001165,1951,1969,"Bejucal, Cuba",1969,1970,"West New York, N.J.",1970,1974,"Jersey City, N.J.",1974,1985,"Middlebury, Vt.",1985-1995,,Businessman and teacher,1995,2007,"West New York, N.J.",2000,2006,New Jersey,2006,2023,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D000327,1940,1959,"Bremerton, Kitsap County, Wash.",1959,1963,"Seattle, Wash.",1963,1968,"Seattle, Wash.",1968,1976,"Washington, D.C. (staff for Senator Warren G. Magnuson)",1977-2013,,"Congress (Washington, D.C.)",2013,Present,Likely Washington State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K000172,1929,1947,"Flint, Genesee County, Mich.",1947,1952,"Detroit, Mich.",1952,1955,"Detroit, Mich.",1958,1959,"Peshawar, Pakistan",1959-1961,,"Ann Arbor, Mich.",1961,1965,Teaching,1965,1974,Michigan,1975,1976,Michigan,1977,2013,Congress,2013,2021,Michigan,,,,,,,,,,,,,,,,,,,,,,,,
L000169,1942,1960,"Davenport, Scott County, Iowa",1960,1964,"Princeton, N.J.",1964,1966,"Washington, D.C.",1966,1968,"London, England",1968-1969,,U.S. Department of State,1969,1970,Office of Economic Opportunity,1971,1972,"Geneva, Switzerland and United Nations General Assembly",1975,,United Nations Conference on Natural Resources,1975,1976,Federal Home Loan Bank Board,"1974, 1976",,Iowa State Republican conventions,1977,2007,Congress,,,,,,,,,,,,,,,,,,,,,
M000133,1946,1964,"Malden, Middlesex County, Mass.",1964,1968,"Chestnut Hill, Mass.",1968,1972,"Chestnut Hill, Mass.",1972,1973,Private practice,1973-1976,,Massachusetts State House,1976,2013,U.S. Congress,2013,2027,U.S. Senate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R000011,1949,1967,"Beckley, Raleigh County, W.Va.",1967,1971,"Durham, N.C.",1971,1972,"Washington, D.C.",1972,1974,"Office of the Majority Whip, United States Senate",1974-1977,,Business owner,1977,2015,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000465,1931,1949,"Lexington, Lafayette County, Mo.",1949,1953,"Edinburgh, Scotland",1953,1956,"Columbia, Mo.",1956,1957,Private practice,1957-1960,,"Lafayette County, Mo.",1961,1963,Missouri,1971,1977,Missouri State Senate,1977,2011,Congress,2011,2013,"Arlington, Va.",,,,,,,,,,,,,,,,,,,,,,,,,,,
A000361,1946,1964,"Quitman, Jackson Parish, La.",1964,1968,"Monroe, La.",1965,1971,United States Air Force reserve,1971,1987,Louisiana (as an insurance agent and businessman),1987-2002,,Louisiana state house of representatives,2003,2013,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L000274,1934,1952,"Seattle, King County, Wash.",1952,1956,"San Bernardino, Calif.",1956,1957,"Los Angeles, Calif.",1957,1964,"San Bernardino, Calif. (Insurance Business)",1964-1968,,"San Bernardino, Calif. (School Board)",1966,1969,California (Staff of Jerry Pettis),1969,1978,California (State Assembly),1979,2013,California (Congress),2013,2021,California,,,,,,,,,,,,,,,,,,,,,,,,,,,
L000517,1946,1960,"Long Beach, Los Angeles County, Calif.",1960,1964,"St. Barnabas School, Long Beach, Calif.",1964,1968,"Notre Dame University, South Bend, Ind.",1968,1969,"University of Southern California Law Center, Los Angeles, Calif.",1969-1971,,"Georgetown University Law Center, Washington, D.C.",1971,1979,"Private practice and staff for United States Senators George Murphy, California and Bill Brock, Tennessee",1979,1989,Congress,1990,1998,California State attorney general,1998,2005,Unsuccessful candidate for governor,2005,2013,Congress,2013,2021,Unsuccessful candidate for reelection to the One Hundred Thirteenth Congress in 2012.,,,,,,,,,,,,,,,,,,,,,
S000005,1938,1955,"Crosby, Divide County, N.D.",1955,1959,"Minneapolis, Minn. (Augsburg College)",1959,1960,"Minneapolis, Minn. (University of Minnesota)",1960,1978,Minnesota (State House of Representatives),1979-2007,,Congress,2007,2016,"Minneapolis, Minn.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000244,1943,1961,"Chicago, Cook County, Ill.",1961,1965,"Stanford, Calif.",1965,1968,"Madison, Wis.",1968,1979,Wisconsin,1979-2021,,Congress,2014,,Japan (Award Ceremony),2015,,European Parliament (Award Ceremony),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T000188,1941,1959,"Wallace, Shoshone County, Idaho",1959,1961,"Santa Ana, California",1961,1965,"San Francisco, California",1965,1974,"Bakersfield, California",1974-1978,,California State Assembly,1979,2007,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P000265,1940,1958,"Marinette, Marinette County, Wis.",1958,1962,"Cambridge, Mass.",1962,1965,"Cambridge, Mass.",1965,,Western District of Wisconsin,1966-1967,,(Peace Corps),1969,1970,White House,1973,1979,Wisconsin,1979,2015,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I000023,1959,1977,"Savannah, Chatham County, Ga.",1977,1981,"Durham, N.C.",1981,1984,"Charlottesville, Va.",1984,1993,Private practice,1993-1999,,Congress,1999,2005,Unsuccessful candidate for U.S. Senate,2005,2011,Congress,2011,2021,Unsuccessful candidate for Congress nomination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C000537,1940,1957,"Sumter, Sumter County, S.C.",1957,1961,"Orangeburg, S.C.",1961,1965,"South Carolina (teacher, newspaper publisher)",1965,1966,South Carolina (employment counselor),1966-1968,,"Charleston County, S.C.",1968,1971,South Carolina (executive director),1971,1974,South Carolina (staff of Governor),1974,1992,South Carolina (human affairs commissioner),1993,present,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,
B000617,1954,1972,"San Antonio, Bexar County, Tex.",1972,1976,"Austin, Tex.",1976,1993,Journalist and broadcasting executive,1993,2007,Congress,2007-Present,,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G000410,1947,1967,"Houston, Harris County, Tex.",1967,1971,"University of Houston, Houston, Tex.",1971,1977,"Bates College of Law, Houston, Tex.",1977,1993,Private practice and business executive in Texas,1973-1985,,Texas state house of representatives,1985,1993,Texas state senate,1993,2019,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J000126,1935,1952,"Waco, McLennan County, Tex.",1952,1955,"Notre Dame, Ind.",1955,1967,"Waco, Tex.",1967,1976,"Fort Worth, Tex.",1976-1993,,"Dallas, Tex.",1972,1977,Texas State House of Representatives,1977,1981,"United States Department of Health, Education and Welfare",1986,1992,Texas State Senate,1993,2023,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000185,1947,1961,"Washington, D.C.",1961,1965,"Groton, Mass.",1965,1969,"Cambridge, Mass.",1969,1973,"Boston, Mass.",1973-1978,,Private practice,1970,1974,United States Army Reserve,1974,1976,Massachusetts Army National Guard,1978,1983,Virginia,1983,1993,Virginia,1993,Present,Congress,,,,,,,,,,,,,,,,,,,,,,,,
G000289,1952,1970,"Springfield, Mass.",1970,1974,"Lewiston, Maine",1974,1977,"Lexington, Va.",1977,1993,Private practice and staff for U.S. Representative,1993-2019,,"Congress, Virginia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M000472,1948,1966,"Watertown, Jefferson County, N.Y.",1966,1970,"Utica, N.Y.",1970,1977,"New York, N.Y.",1971,1976,"Watertown, N.Y.",1976-1985,,New York State,1985,1993,New York State Senate,1993,2009,Congress,2009,2015,Secretary of the Army,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C000868,1947,1965,"Huntsville, Madison County, Ala.",1965,1969,University of Alabama,1969,1972,University of Alabama Law School,1972,1976,United States Army,1976-1978,,United States Army Reserves,1973,1975,"Madison County, Ala.",1975,1981,Private practice,1981,1990,"Madison County, Ala.",1991,2009,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,
P000099,1943,1962,"Claypool, Gila County, Ariz.",1962,1966,"Tempe, Ariz.",1966,1974,"Tempe, Ariz.",1971,1972,Arizona Governor's Office,1977-1991,,"Maricopa County, Ariz.",1991,2015,Congress,2015,2018,"Phoenix, Ariz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D000429,1950,1968,"Glendale, Los Angeles County, Calif.",1968,1972,"Santa Cruz, Calif.",1972,1978,"Stockton, Calif.",1978,1981,Private practice,1981-1990,,California State Senate,1991,2009,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W000187,1938,1956,"St. Louis, Mo.",1956,1970,"Los Angeles, Calif.",1970,1977,"Los Angeles, Calif. (as a teacher and Head Start volunteer coordinator)",1977,1991,California (as a member of the California state assembly),1991-Present,,Congress (as a Representative from California),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C000994,1941,1960,"Los Angeles, Los Angeles County, Calif.",1960,1966,"Columbia, Mo.",1966,1987,United States Navy,1985,1991,"San Diego, Calif.",1991-2005,,Congress,2006,2021,Convicted of tax evasion and conspiracy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D000216,1943,1961,"New Haven, New Haven County, Conn.",1961,1964,"Milford, Conn.",1964,1966,"Tarrytown, N.Y.",1962,1963,"London, England",1966-1976,,"New York, N.Y.",1976,1979,"New Haven, Conn.",1979,1980,Connecticut,1981,1987,Staff for Senator Christopher J. Dodd,1987,1988,Countdown '87,1989,1990,EMILY'S List,1991,Present,Congress,,,,,,,,,,,,,,,,,,,,,
N000172,1960,1978,"Des Moines, Polk County, Iowa",1978,1983,"Decorah, Iowa",1983,1985,"Des Moines, Iowa",1985,1991,"Private practice, Delaware County, Iowa",1991-2007,,Congress,2007,2009,"Office of Management and Budget, Washington D.C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J000070,1947,1965,"Lake Providence, East Carroll Parish, La.",1965,1969,"Baton Rouge, La.",1969,1972,"Cambridge, Mass.",1972,1975,United States Army,1972-1973,,Eastern District of Louisiana,1973,1975,Louisiana,1979,1990,Louisiana State Senate,1991,2009,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G000180,1946,1964,"Rahway, Union County, N.J.",1964,1968,United States Marine Corps,1968,1971,"Dover, Del.",1971,1973,"Dover, Del.",1973-1991,,Teacher,1991,2009,Congress,2009,Present,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O000085,1936,1951,"Honesdale, Wayne County, Pa.",1951,1955,"Troy, N.Y.",1955,1956,"Medford, Mass.",1956,1958,"Joplin, Mo.",1958-1961,,"Cambridge, Mass.",1961,1962,"Cambridge, Mass.",1962,1969,"Amherst, Mass.",1969,1972,Massachusetts,1973,1991,Massachusetts,1991,2013,Congress,2013,2023,"Amherst, Mass.",,,,,,,,,,,,,,,,,,,,,
C000071,1953,1971,"Midland, Midland County, Mich.",1971,1973,"Brighton, England",1973,1975,"Albion, Mich.",1975,1978,"San Diego, Calif.",1978-1980,,"Midland County, Mich.",1980,1984,Michigan state attorney general,1984,1987,"Staff, United States Representative Bill Schuette of Michigan",1987,1989,"Midland County, Mich.",1989,1990,Michigan state house of representatives,1991,2015,Congress,2015,Present,Committee on Ways and Means; Joint Committee on Taxation,,,,,,,,,,,,,,,,,,,,,
R000033,1946,1964,"Jamestown, Stutsman County, N.D.",1964,1968,University of Minnesota,1968,1973,"Washington, D.C.",1968,1975,United States Army Reserve,1969-1970,,Minnesota,1970,,North Dakota,1974,1978,"Washington, D.C.",1978,,Minnesota,1981,1990,Minnesota,1991,2009,Congress,2009,2020,"Wayzata, Minn.",,,,,,,,,,,,,,,,,,,,,
P000258,1944,1962,"Fargo, Cass County, N.D.",1962,1966,"Moorhead, Minn.",1963,1969,United States Army National Guard,1966,1977,Certified public accountant,1977-1986,,Minnesota state senate,1986,1991,Unsuccessful candidate for Congress,1991,2021,Congress,2021,Present,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A000210,1957,1971,"Camden, Camden County, N.J.",1971,1975,"Runnemede, N.J.",1975,1979,"Lewisburg, Pa.",1979,1982,"Ithaca, N.Y.",1982-1986,,"Camden County, N.J. (Law Practice)",1986,1990,"Camden County, N.J. (Freeholder)",1990,2014,"Congress, Washington D.C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S000248,1943,1961,"Mayaguez, P.R.",1961,1964,"New York, N.Y.",1964,1966,(U.S. Army),1966,1969,"New York, N.Y.",1969-1974,,"New York, N.Y.",1975,1990,"New York, N.Y.",1990,2021,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T000067,1941,1959,"Brevard, Transylvania County, N.C.",1959,1963,"Winston-Salem, N.C.",1963,1966,"Winston-Salem, N.C.",1967,1973,North Carolina,1973-1975,,North Carolina,1991,2007,Congress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H000666,1936,1954,"Cincinnati, Hamilton County, Ohio",1954,1958,"Delaware, Ohio",1958,1963,"Columbus, Ohio",1963,1982,Ohio (Ohio Air National Guard),1982-1990,,Ohio (Ohio state senate),1991,2009,Congress,2009,Present,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B000589,1949,1968,"Cincinnati, Hamilton County, Ohio",1968,1977,"Xavier University, Cincinnati, Ohio",1977,1981,"Union Township, Ohio",1981,1985,"Union Township, Ohio",1985-1990,,Ohio State House of Representatives,1991,2015,Congress,2015,Present,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J000174,1930,1948,"San Antonio, Bexar County, Tex.",1948,1951,"Dallas, Tex.",1951,1974,"Washington, D.C.",1974,1979,(Vietnam War),1985-1991,,Texas,1991,2019,Congress,2019,2020,"Plano, Tex.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
