id,bio,api_out
L000563,"(Son of William Oliver Lipinski), a Representative from Illinois; born in Chicago, Cook County, Ill., July 15, 1966; B.S., Northwestern University, Evanston, Ill., 1988; M.S., Stanford University, Stanford, Calif., 1989; Ph.D., Duke University, Durham, N.C., 1998; professor, James Madison University Washington Program, Washington, D.C., 2000; professor, University of Notre Dame, South Bend, Ind., 2000-2001; professor, University of Tennessee, Knoxville, Tenn., 2001-2004; staff, United States Representative George Edward Sangmeister of Illinois, 1993-1994; staff, United States Representative Jerry Francis Costello of Illinois, 1995-1996; staff, United States Representative Rod R. Blagojevich of Illinois, 1999-2000; elected as a Democrat to the One Hundred Ninth and to the seven succeeding Congresses (January 3, 2005-January 3, 2021); unsuccessful candidate for nomination to the One Hundred Seventeenth Congress in 2020.&nbsp;","Time Period | Location
--- | ---
1966-1988 | Chicago, Cook County, Ill.
1988-1989 | Stanford, Calif.
1989-1998 | Durham, N.C.
2000 | Washington, D.C.
2000-2001 | South Bend, Ind.
2001-2004 | Knoxville, Tenn.
1993-1994 | Illinois
1995-1996 | Illinois
1999-2000 | Illinois
2005-2021 | Congress"
B001253,"A Representative from Illinois; born in Chicago, Cook County, Ill., January 22, 1962; graduated, Maine East High School, Park Ridge, Ill., 1980; A.A., Oakton Community College, Des Plaines, Ill., 1982; B.A., Roosevelt University, Chicago, Ill., 2002; consultant; businesswoman; unsuccessful candidate for election to the United States House of Representatives in 2002; elected as a Democrat to the One Hundred Ninth Congress and to the two succeeding Congresses (January 3, 2005-January 3, 2011); unsuccessful candidate for re-election to the One Hundred Twelfth Congress in 2010.","Time Period | Location
--- | ---
1962-1980 | Chicago, Cook County, Ill.
1980-1982 | Park Ridge, Ill.
1982-2002 | Des Plaines, Ill.
2002-2005 | Chicago, Ill.
2005-2011 | Congress"
S001160,"A Representative from Indiana; born in New Albany, Floyd County, Ind., December 17, 1945; attended Indiana University; United States Army National Guard, 1966-1973; business owner; elected as a Republican to the One Hundred Ninth Congress (January 3, 2005-January 3, 2007); unsuccessful candidate for reelection to the One Hundred Tenth Congress in 2006; unsuccessful candidate for nomination to the One Hundred Eighteenth Congress in 2022.","Time Period | Location
--- | ---
1945-1966 | New Albany, Floyd County, Ind.
1966-1973 | United States Army National Guard
1973-2004 | New Albany, Floyd County, Ind.
2005-2007 | Congress
2022 | New Albany, Floyd County, Ind."
D000603,"A Representative from Kentucky; born in Montreal, Quebec, Canada, October 26, 1958; attended public schools, West Pittsburgh, Pa.; B.S., U.S. Military Academy, West Point, N.Y., 1981; U.S. Army, 1976-1987; manufacturer; consultant; unsuccessful candidate for election to the United States House of Representatives in 2002; elected as a Republican to the One Hundred Ninth Congress and to the three succeeding Congresses until his resignation on July 31, 2012 (January 3, 2005-July 31, 2012).","Time Period | Location
--- | ---
1958-1976 | Montreal, Quebec, Canada
1976-1981 | West Pittsburgh, Pa.
1981-1987 | West Point, N.Y.
1987-2005 | U.S. Army
2005-2012 | United States House of Representatives"
J000287,"A Representative from Louisiana; born in Baton Rouge, East Baton Rouge Parish, La., June 10, 1971; graduated from Baton Rouge High School, Baton Rouge, La., 1988; B.S., Brown University, Providence, R.I., 1991; M.Litt., Oxford University, Oxford, England, 1994; secretary, Louisiana department of health and hospitals 1996-1998; appointed executive director of the National Bipartisan Commission on the Future of Medicare, 1998; president, University of Louisiana system, 1999; appointed assistant secretary for planning and evaluation, Department of Health and Human Services by President George W. Bush on March 7, 2001; unsuccessful candidate for Governor of Louisiana in 2003; elected as a Republican to the One Hundred Ninth and to the succeeding Congress until his resignation on January 14, 2008 (January 3, 2005-January 14, 2008); Governor of Louisiana, 2008-2016.","Time Period | Location
--- | ---
1971-1988 | Baton Rouge, East Baton Rouge Parish, La.
1988-1991 | Providence, R.I.
1991-1994 | Oxford, England
1994-1996 | (Unknown)
1996-1998 | Louisiana
1998-1999 | (Unknown)
1999-2001 | University of Louisiana system
2001-2003 | Department of Health and Human Services
2003-2005 | (Unknown)
2005-2008 | Congress
2008-2016 | Governor of Louisiana"
M001161,"A Representative from Louisiana; born in Napoleonville, Assumption Parish, La., October 3, 1947; B.S., University of Southwestern Louisiana, Lafayette, La., 1971; businessman; chairman, Louisiana State University Agricultural Development Council; member, Louisiana state house of representatives, 1987-1993; elected as a Democrat to the One Hundred Ninth and to the two succeeding Congresses (January 3, 2005-January 3, 2011); not a candidate for reelection, but was an unsuccessful candidate to the United States Senate in 2010.","Time Period | Location
--- | ---
1947-1971 | Napoleonville, Assumption Parish, La.
1971-1987 | Lafayette, La.
1987-1993 | Louisiana state house of representatives
2005-2011 | Congress"
B001255,"A Representative from Louisiana; born in New Orleans, Orleans Parish, La., February 21, 1956; graduated Cathedral Carmel High School, Lafayette, La.; B.S., University of Southwestern Louisiana, Lafayette, La., 1978; M.D., Louisiana State University School of Medicine, New Orleans, La., 1982; surgeon; elected as a Republican to the One Hundred Ninth and to the five succeeding Congresses (January 3, 2005-January 3, 2017); was not a candidate for reelection to the One Hundred Fifteenth Congress in 2016, but was an unsuccessful candidate for election to the United States Senate.","Time Period | Location
--- | ---
1956-1974 | New Orleans, Orleans Parish, La.
1974-1978 | Lafayette, La.
1978-1982 | Lafayette, La.
1982-2004 | New Orleans, La.
2005-2017 | Congress"
S001161,"A Representative from Michigan; born in Battle Creek, Calhoun County, Mich., November 15, 1937; graduated from Battle Creek Central High School, Battle Creek, Mich.; B.A., University of Michigan, 1959; M.D., Wayne State University, Detroit, Mich., 1964; physician; United States Navy, 1965-1967; served in the Central Intelligence Agency, 1968-1970; Battle Creek City Commissioner, 1979-1985; mayor of Battle Creek, Mich., 1985-1987; member of the Michigan state senate, 1987-2002; unsuccessful candidate for nomination to the United States House of Representatives in 1992; elected as a Republican to the One Hundred Ninth Congress (January 3, 2005-January 3, 2007); unsuccessful candidate for nomination to the One Hundred Tenth Congress in 2006.","Time Period | Location
--- | ---
1937-1959 | Battle Creek, Calhoun County, Mich.
1959-1964 | University of Michigan, Mich.
1964-1965 | Wayne State University, Detroit, Mich.
1965-1967 | United States Navy
1968-1970 | Central Intelligence Agency
1979-1985 | Battle Creek, Mich.
1985-1987 | Battle Creek, Mich.
1987-2002 | Michigan state senate
2005-2007 | Congress"
C001060,"(Son of Senator Jean Carnahan, grandson of Representative Albert Carnahan), a Representative from Missouri; born in Columbia, Boone County, Mo., July 10, 1958; B.A., University of Missouri, Columbia, Mo., 1979; J.D., University of Missouri School of Law, Columbia, Mo., 1983; unsuccessful candidate for election the United States House of Representatives in 1990; member, Missouri state house of representatives, 2000-2004; elected as a Democrat to the One Hundred Ninth and to the three succeeding Congresses (January 3, 2005-January 3, 2013); unsuccessful candidate for nomination to the One Hundred Thirteenth Congress in 2012.","Time Period | Location
--- | ---
1958-1979 | Columbia, Boone County, Mo.
1979-1983 | Columbia, Mo.
1983-1990 | (unknown)
2000-2004 | Missouri state house of representatives
2005-2013 | Congress"
C001061,"A Representative from Missouri; born in Waxahachie, Ellis County, Tex., October 26, 1944; graduated from Booker T. Washington High School, Wichita Falls, Tex., 1963; B.S., Prairie View A&amp;M University, Prairie View, Tex., 1972; M.Div., St. Paul School of Theology, Kansas City, Mo., 1974; pastor; radio show host; member of the Kansas City, Mo. city council, 1979-1991; Mayor of Kansas City, Mo., 1991-1999; elected as a Democrat to the One Hundred Ninth and to the eight succeeding Congresses (January 3, 2005-present).","Time Period | Location
--- | ---
1944-1963 | Waxahachie, Ellis County, Tex.
1963-1972 | Wichita Falls, Tex.
1972-1974 | Prairie View, Tex.
1974-1991 | Kansas City, Mo.
1991-1999 | Kansas City, Mo.
1999-2005 | Kansas City, Mo.
2005-present | Congress"
F000449,"A Representative from Nebraska; born in Baton Rouge, East Baton Rouge Parish, La., December 27, 1960; B.A., Louisiana State University, Baton Rouge, La., 1982; M.P.P., Georgetown University, Washington, D.C., 1986; M.Th., Franciscan University, Steubenville, Ohio, 1996; member of the Lincoln, Nebr., city council, 1997-2001; publishing executive; elected as a Republican to the One Hundred Ninth and to the eight succeeding Congresses until his resignation on March 31, 2022 (January 3, 2005-March 31, 2022).","Time Period | Location
--- | ---
1960-1982 | Baton Rouge, East Baton Rouge Parish, La.
1982-1986 | Washington, D.C.
1986-1996 | Steubenville, Ohio
1997-2001 | Lincoln, Nebr.
2001-2022 | Congress"
H001038,"a Representative from New York; born in Buffalo, Erie County, N.Y., October 6, 1959; graduated from South Park High School, Buffalo, N.Y., 1978; B.A., Buffalo State College, Buffalo, N.Y., 1984; M.A., Buffalo State College, Buffalo, N.Y., 1985; M.P.A., Harvard University, Cambridge, Mass., 1996; lecturer, Buffalo State College, Buffalo, N.Y.; member of the Buffalo, N.Y. common council, 1988-1994; member of the New York state assembly, 1999-2004; elected as a Democrat to the One Hundred Ninth and to the nine succeeding Congresses (January 3, 2005-present).","Time Period | Location
--- | ---
1959-1978 | Buffalo, Erie County, N.Y.
1978-1984 | Buffalo, N.Y.
1984-1985 | Buffalo, N.Y.
1985-1996 | Cambridge, Mass.
1996-2004 | Buffalo, N.Y.
2005-present | Congress"
K000364,"A Representative from New York; born in Bath, Steuben County, N.Y., April 19, 1943; B.S., Union College, Schenectady, N.Y., 1966; J.D., Syracuse University, Syracuse, N.Y., 1969; lawyer, private practice; member of the New York state assembly, 1981-1986; member of the New York state senate, 1987-2004; elected as a Republican to the One Hundred Ninth and to the succeeding Congress (January 3, 2005-January 3, 2009); unsuccessful candidate for reelection to the One Hundred Eleventh Congress in 2008.","Time Period | Location
--- | ---
1943-1966 | Bath, Steuben County, N.Y.
1966-1969 | Syracuse, N.Y.
1969-1981 | Private practice
1981-1986 | New York state assembly
1987-2004 | New York state senate
2005-2009 | Congress"
F000450,"a Representative from North Carolina; born in New York, New York County, N.Y., June 29, 1943; graduated from Crossnore High School, Crossnore, N.C., 1961; A.B., University of North Carolina, Chapel Hill, N.C., 1968; M.A.C.T., University of North Carolina, Chapel Hill, N.C., 1972; Ed.D., University of North Carolina, Greensboro, N.C., 1985; instructor, Caldwell Community College, Hudson, N.C.; instructor, Appalachian State University, Boone, N.C.; assistant dean, Appalachian State University, Boone, N.C.; president, Mayland Community College, Spruce Pine, N.C., 1987-1994; landscape nursery owner; deputy secretary for management, North Carolina Department of Administration; member of the Watauga County, N.C., board of education, 1976-1988; member of the North Carolina state senate, 1994-2004; elected as a Republican to the One Hundred Ninth and to the nine succeeding Congresses (January 3, 2005-present); chair, Committee on Education and the Workforce (One Hundred Fifteenth and One Hundred Eighteenth Congresses).","Time Period | Location
--- | ---
1943-1961 | New York, New York County, N.Y.
1961-1968 | Crossnore, N.C.
1968-1972 | Chapel Hill, N.C.
1972-1985 | Greensboro, N.C.
1985-1987 | (Unknown)
1987-1994 | Spruce Pine, N.C.
1994-2004 | (Unknown)
2005-Present | (Unknown)"
M001156,"a Representative from North Carolina; born in Charlotte, Mecklenburg County, N.C., October 22, 1975; graduated Ashbrook High School, Gastonia, N.C., 1994; attended North Carolina State University, Raleigh, N.C.; B.A., Belmont Abbey College, Belmont, N.C., 1999; realtor; appointed special assistant to the United States Secretary of Labor by President George W. Bush in 2001; member of the North Carolina state house of representatives, 2002-2004; elected as a Republican to the One Hundred Ninth and to the nine succeeding Congresses (January 3, 2005-present); chair, Committee on Financial Services (One Hundred Eighteenth Congress).","Time Period | Location
--- | ---
1975-1994 | Charlotte, Mecklenburg County, N.C.
1994-1999 | Gastonia, N.C.
1999-2001 | Raleigh, N.C.
2001-2002 | Belmont, N.C.
2002-2004 | North Carolina state house of representatives
2005-present | Congress"
B001254,"(Grandson of Lyle Boren and son of David Boren), (grandson of Lyle Boren and son of David Boren), a Representative from Oklahoma; born in Shawnee, Pottawatomie County, Okla., August 2, 1973; United States Capitol Page School, 1989; B.S., Texas Christian University, Fort Worth, Tex., 1997; M.B.A., University of Oklahoma, 2001; staff, United States Representative Wesley Watkins of Oklahoma; education administrator; bank teller; aide, Oklahoma Corporation Commission; member of the Oklahoma state house of representatives, 2002-2004; elected as a Democrat to the One Hundred Ninth and to the three succeeding Congresses (January 3, 2005-January 3, 2013); was not a candidate for reelection to the One Hundred Thirteenth Congress in 2012.","Time Period | Location
--- | ---
1973-1989 | Shawnee, Pottawatomie County, Okla.
1989-1997 | Fort Worth, Tex.
1997-2001 | University of Oklahoma
2002-2004 | Oklahoma
2005-2013 | Congress"
F000451,"a Representative from Pennsylvania; born in Philadelphia, Philadelphia County, Pa., June 28, 1963; B.A., St. Thomas University, Miami Gardens, Florida, 1985; J.D., Dickinson School of Law, Carlisle, Pa., 1988; lawyer, private practice; Bucks County, Pa. commissioner, 1995-2004; elected as a Republican to the One Hundred Ninth Congress (January 3, 2005-January 3, 2007); unsuccessful candidate for reelection to the One Hundred Tenth Congress in 2006; elected as a Republican to the One Hundred Twelfth and to the two succeeding Congresses (January 3, 2011-January 3, 2017); was not a candidate for reelection to the One Hundred Fifteenth Congress in 2016; died on January 6, 2020; interment at Washington Crossing National Cemetery, Upper Makefield Township, Pa.","Time Period | Location
--- | ---
1963-1985 | Philadelphia, Philadelphia County, Pa.
1985-1988 | Miami Gardens, Florida
1988-1995 | Carlisle, Pa.
1995-2004 | Bucks County, Pa.
2005-2007 | Congress
2011-2016 | Congress
2020 | Upper Makefield Township, Pa."
S001162,"A Representative from Pennsylvania; born in Queens, Queens County, N.Y., October 3, 1948; graduated from the Calhoun School, New York, N.Y., 1966; B.A., Simmons College, Boston, Mass., 1970; M.S.W., Bryn Mawr College, Bryn Mawr, Pa., 1972; health care executive; member of the Pennsylvania state senate, 1991-2004; unsuccessful candidate to nomination for the United States Senate in 2000; elected as a Democrat to the One Hundred Ninth and to the four succeeding Congresses (January 3, 2005-January 3, 2015); was not a candidate for reelection to the One Fourteenth Congress, but was an unsuccessful candidate for nomination for Governor of Pennsylvania in 2014.","Time Period | Location
--- | ---
1948-1966 | Queens, Queens County, N.Y.
1966-1970 | Boston, Mass.
1970-1972 | Bryn Mawr, Pa.
1972-2021 | Health care executive
1991-2004 | Pennsylvania state senate
2005-2015 | Congress"
D000604,"A Representative from Pennsylvania; born in Allentown, Lehigh County, Pa., May 24, 1960; graduated from William Allen High School, Allentown, Pa., 1978; B.A., Pennsylvania State University, University Park, Pa., 1982; M.P.A., Lehigh University, Bethlehem, Pa., 1993; staff, United States Representative Donald Ritter of Pennsylvania; college administrator; sales representative; hotel clerk; member of the Pennsylvania state house of representatives, 1991-1998; member of the Pennsylvania state senate, 1999-2004; elected as a Republican to the One Hundred Ninth and to the six succeeding Congresses until his resignation on May 12, 2018 (January 3, 2005-May 12, 2018); chair, Committee on Ethics (One Hundred Fourteenth Congress).","Time Period | Location
--- | ---
1960-1978 | Allentown, Lehigh County, Pa.
1978-1982 | University Park, Pa.
1982-1993 | Bethlehem, Pa.
1991-1998 | Pennsylvania state house of representatives
1999-2004 | Pennsylvania state senate
2005-2018 | Congress"
G000552,"A Representative from Texas; born in Pittsburg, Camp County, Tex., August 18, 1953; graduated from Mount Pleasant High School, Mount Pleasant, Tex., 1971; B.A., Texas A&amp;M University, College Station, Tex., 1975; J.D., Baylor University, Waco, Tex., 1977; United States Army, 1978-1982; lawyer, private practice; district judge, Smith County, Tex., 1992-2002; chief justice, Texas state twelfth circuit court of appeals, 2002-2003; elected as a Republican to the One Hundred Ninth and to the eight succeeding Congresses (January 3, 2005-January 3, 2023); was not a candidate for reelection to the One Hundred Eighteenth Congress in 2022, but was an unsuccessful candidate for nomination for Texas state attorney general.","Time Period | Location
--- | ---
1953-1971 | Pittsburg, Camp County, Tex.
1971-1975 | College Station, Tex.
1975-1977 | Waco, Tex.
1978-1982 | United States Army
1982-1992 | Private practice
1992-2002 | Smith County, Tex.
2002-2003 | Texas state twelfth circuit court of appeals
2005-2023 | Congress"
P000592,"A Representative from Texas; born in Temple, Bell County, Tex., September 10, 1948; B.A., Abilene Christian University, Abilene, Tex., 1970; J.D., University of Houston, Houston, Tex., 1973; United States Air Force Reserves, 1970-1976; teacher; lawyer, private practice; district attorney, Harris County, Houston, Tex., 1973-1981; district judge, Harris County, Houston, Tex., 1981-2003; elected as a Republican to the One Hundred Ninth and to the six succeeding Congresses (January 3, 2005-January 3, 2019); was not a candidate for reelection to the One Hundred Sixteenth Congress in 2018.","Time Period | Location
--- | ---
1948-1970 | Temple, Bell County, Tex.
1970-1973 | Abilene, Tex.
1973-1981 | Houston, Tex.
1981-2003 | Houston, Tex.
2005-2019 | Congress"
G000553,"A Representative from Texas; born in New Orleans, Jefferson Parish, La., September 1, 1947; attended Florida A&amp;M University, Tallahassee, Fla., 1966-1971; attended Tuskegee University, Tuskegee, Ala.; J.D., Texas Southern University, Houston, Tex., 1974; lawyer, private practice; justice of the peace, Harris County, Tex., 1977-2004; elected as a Democrat to the One Hundred Ninth and to the nine succeeding Congresses (January 3, 2005-present).","Time Period | Location
--- | ---
1947-1966 | New Orleans, Jefferson Parish, La.
1966-1971 | Tallahassee, Fla.
1971-1974 | Tuskegee, Ala.
1974-2004 | Houston, Tex.
2005-present | Congress"
M001157,"A Representative from Texas; born in Dallas, Dallas County, Tex., January 14, 1962; B.S., Trinity University, San Antonio, Tex., 1984; J.D., St. Mary&rsquo;s University, San Antonio, Tex., 1987; lawyer, private practice; deputy attorney general, office of the Texas state attorney general; elected as a Republican to the One Hundred Ninth and to the nine succeeding Congresses (January 3, 2005-present); chair, Committee on Homeland Security (One Hundred Thirteenth through One Hundred Fifteenth Congresses); chair, Committee on Foreign Affairs (One Hundred Eighteenth Congress).","Time Period | Location
--- | ---
1962-1984 | Dallas, Dallas County, Tex.
1984-1987 | San Antonio, Tex.
1987-2004 | Private practice and deputy attorney general, office of the Texas state attorney general
2005-present | Congress"
C001062,"A Representative from Texas; born in Borger, Hutchinson County, Tex., June 11, 1948; graduated from Odessa Permian High School, Odessa, Tex., 1966; B.B.A., Texas A&amp;M University-Commerce, Commerce, Tex., 1970; United States Army, 1970-1972; certified public accountant; bank executive; member of the Midland, Tex., school board, 1985-1988; unsuccessful candidate for special election to the One Hundred Eighth Congress in 2003; elected as a Republican to the One Hundred Ninth and to the seven succeeding Congresses (January 3, 2005-January 3, 2021); chair, Committee on Ethics (One Hundred Thirteenth Congress); chair, Committee on Agriculture (One Hundred Fourteenth and One Hundredth Fifteenth Congresses); was not a candidate for reelection to the One Hundred Seventeenth Congress in 2020.","Time Period | Location
--- | ---
1948-1966 | Borger, Hutchinson County, Tex.
1966-1970 | Odessa, Tex.
1970-1972 | (US Army)
1972-1985 | Commerce, Tex.
1985-1988 | Midland, Tex.
1988-2003 | (Unknown)
2003-2021 | Congress"
M001158,"A Representative from Texas; born in Bonham, Fannin County, Tex., February 23, 1951; B.A., Bethany Nazarene College (now Southern Nazarene University), Bethany, Okla., 1974; attended Nazarene Theological Seminary, Kansas City, Mo., 1975-1976; real estate developer; member of the Carrollton, Tex., city council, 1980-1984; mayor of Carrollton, Tex., 1984-1987; member of the Texas state house of representatives, 1987-2004; elected as a Republican to the One Hundred Ninth and to the seven succeeding Congresses (January 3, 2005-January 3, 2021); was not a candidate for reelection to the One Hundred Seventeenth Congress in 2020.","Time Period | Location
--- | ---
1951-1974 | Bonham, Fannin County, Tex.
1974-1975 | Bethany, Okla.
1975-1976 | Kansas City, Mo.
1980-1987 | Carrollton, Tex.
1987-2004 | Texas state house of representatives
2005-2021 | Congress"
C001063,"A Representative from Texas; born in Laredo, Webb County, Tex., September 19, 1955; graduated from J.W. Nixon High School, Laredo, Tex., 1974; A.A., Laredo Community College, Laredo, Tex., 1976; B.S., Georgetown University, Washington, D.C., 1978; J.D., University of Texas, Austin, Tex., 1981; M.A., Texas A&amp;M International University, Laredo, Tex., 1982; Ph.D., University of Texas, Austin, Tex., 1998; lawyer, private practice; member of the Texas state house of representatives, 1987-2001; unsuccessful candidate for election to the One Hundred Eighth Congress in 2002; Texas secretary of state, 2001; elected as a Democrat to the One Hundred Ninth and to the nine succeeding Congresses (January 3, 2005-present).","Time Period | Location
--- | ---
1955-1974 | Laredo, Webb County, Tex.
1974-1976 | Laredo, Tex.
1976-1978 | Washington, D.C.
1978-1981 | Austin, Tex.
1981-1982 | Laredo, Tex.
1982-1998 | Austin, Tex.
1998-2001 | Private practice
2001 | Texas
2005-present | Congress"
D000605,"A Representative from Virginia; born in Elyria, Lorain County, Ohio, November 20, 1949; graduated from Elyria High School, Elyria, Ohio, 1967; realtor; business owner; member of the Virginia state house of delegates, 1996-2004; elected as a Republican to the One Hundred Ninth and to the succeeding Congress (January 3, 2005-January 3, 2009); unsuccessful candidate for reelection to the One Hundred Eleventh Congress in 2008.","Time Period | Location
--- | ---
1949-1967 | Elyria, Lorain County, Ohio
1967-1996 | Elyria, Ohio
1996-2004 | Virginia state house of delegates
2005-2009 | Congress"
M001159,"(served under the name of McMorris, Cathy in the One Hundred Ninth Congress and the name McMorris Rodgers, Cathy in the One Hundred Tenth through One Hundred Fifteenth Congresses), a Representative from Washington; born in Salem, Marion County, Oreg., May 22, 1969; graduated from Columbia River Christian Academy, Kettle Falls, Wash., 1986; B.A., Pensacola Christian College, Pensacola, Fla., 1990; M.B.A., University of Washington, Seattle, Wash., 2002; family orchard business; member of the Washington state house of representatives, 1994-2004, minority leader, 2002-2003; elected as a Republican to the One Hundred Ninth and to the nine succeeding Congresses (January 3, 2005-present); chair, House Republican Conference (One Hundred Thirteenth through One Hundred Fifteenth Congresses); chair, Committee on Energy and Commerce (One Hundred Eighteenth Congress).","Time Period | Location
--- | ---
1969-1986 | Salem, Marion County, Oreg.
1986-1990 | Kettle Falls, Wash.
1990-2002 | Pensacola, Fla. and Seattle, Wash.
1994-2004 | Washington state house of representatives
2005-present | Congress"
R000578,"A Representative from Washington; born in Detroit Lakes, Becker County, Minn., August 29, 1950; graduated, Kent Meridian High School, Kent, Wash., 1968; A.A., Concordia Lutheran College, Portland, Oreg., 1970; United States Air Force Reserve, 1971-1976; United States Air Force, 1976; police officer, King County, Wash., 1972-1997; sheriff, King County, Wash., 1997- 2004; elected as a Republican to the One Hundred Ninth and to the six succeeding Congresses (January 3, 2005-January 3, 2019); was not a candidate for reelection to the One Hundred Sixteenth Congress in 2018.","Time Period | Location
--- | ---
1950-1968 | Detroit Lakes, Becker County, Minn.
1968-1970 | Kent, Wash.
1970-1976 | Portland, Oreg.
1972-1997 | King County, Wash.
1997-2004 | King County, Wash.
2005-2019 | Congress"
M001160,"A Representative from Wisconsin; born in Racine, Racine County, Wis., April 18, 1951; graduated from Northern Division High School, Milwaukee, Wis., 1969; B.A., Marquette University, Milwaukee, Wis., 1978; housing officer, Wisconsin housing and development authority; member of the Wisconsin state assembly, 1989-1992; member of the Wisconsin state senate, 1993-2004, president pro tempore, 1997-1998; elected as a Democrat to the One Hundred Ninth and to the nine succeeding Congresses (January 3, 2005-present).","Time Period | Location
--- | ---
1951-1969 | Racine, Racine County, Wis.
1969-1978 | Milwaukee, Wis.
1978-1989 | (Unknown)
1989-1992 | Wisconsin
1993-2004 | Wisconsin
2005-present | Congress"
